instance,family,scale,variant,noise_percent,seed,variables,clauses,direct_structural_clauses,encoded_structural_clauses,noise_clauses,boxes,resources,demands,capacities,reachable,expected_result,cnf_sha256
011_exact_r_allocation_default_scale13.cnf,exact_r_allocation,13,default,0,31011,91,2366,2366,2366,0,7,13,"[2,2,2,2,2,2,2]","[1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7,8,9,10,11,12],[0,1,2,3,4,5,6,7,8,9,10,11,12],[0,1,2,3,4,5,6,7,8,9,10,11,12],[0,1,2,3,4,5,6,7,8,9,10,11,12],[0,1,2,3,4,5,6,7,8,9,10,11,12],[0,1,2,3,4,5,6,7,8,9,10,11,12],[0,1,2,3,4,5,6,7,8,9,10,11,12]]",UNSATISFIABLE,7acd1a5951d9cda4c9920b7b0a71f7ec89906b698ab8793328b61e9b7b96f1a9
012_exact_r_allocation_default_scale15.cnf,exact_r_allocation,15,default,0,31012,120,4180,4180,4180,0,8,15,"[2,2,2,2,2,2,2,2]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]]",UNSATISFIABLE,4edc834d37cc032a4fe467a3a5d54da8290bcf72e0cd35b59219ded13fe8055d
013_overlapping_hall_violation_default_scale8.cnf,overlapping_hall_violation,8,default,0,31013,144,1097,1097,1097,0,17,17,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[8,9,10,11,12,13,14,15,16],[8,9,10,11,12,13,14,15,16],[8,9,10,11,12,13,14,15,16],[8,9,10,11,12,13,14,15,16],[8,9,10,11,12,13,14,15,16],[8,9,10,11,12,13,14,15,16],[8,9,10,11,12,13,14,15,16],[8,9,10,11,12,13,14,15,16]]",UNSATISFIABLE,cf31b96f37438b0218ecda4e7d72b804509d91efae1f769757d3733ef2b7e957
014_overlapping_hall_violation_default_scale10.cnf,overlapping_hall_violation,10,default,0,31014,220,2111,2111,2111,0,21,21,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7,8,9],[0,1,2,3,4,5,6,7,8,9],[0,1,2,3,4,5,6,7,8,9],[0,1,2,3,4,5,6,7,8,9],[0,1,2,3,4,5,6,7,8,9],[0,1,2,3,4,5,6,7,8,9],[0,1,2,3,4,5,6,7,8,9],[0,1,2,3,4,5,6,7,8,9],[0,1,2,3,4,5,6,7,8,9],[0,1,2,3,4,5,6,7,8,9],[0,1,2,3,4,5,6,7,8,9],[10,11,12,13,14,15,16,17,18,19,20],[10,11,12,13,14,15,16,17,18,19,20],[10,11,12,13,14,15,16,17,18,19,20],[10,11,12,13,14,15,16,17,18,19,20],[10,11,12,13,14,15,16,17,18,19,20],[10,11,12,13,14,15,16,17,18,19,20],[10,11,12,13,14,15,16,17,18,19,20],[10,11,12,13,14,15,16,17,18,19,20],[10,11,12,13,14,15,16,17,18,19,20],[10,11,12,13,14,15,16,17,18,19,20]]",UNSATISFIABLE,5ee560b6be4d112f6655f4dc430604c914021f932c8bbc2c0173c8f8b4a23186
015_overlapping_hall_violation_default_scale12.cnf,overlapping_hall_violation,12,default,0,31015,312,3613,3613,3613,0,25,25,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[12,13,14,15,16,17,18,19,20,21,22,23,24],[12,13,14,15,16,17,18,19,20,21,22,23,24],[12,13,14,15,16,17,18,19,20,21,22,23,24],[12,13,14,15,16,17,18,19,20,21,22,23,24],[12,13,14,15,16,17,18,19,20,21,22,23,24],[12,13,14,15,16,17,18,19,20,21,22,23,24],[12,13,14,15,16,17,18,19,20,21,22,23,24],[12,13,14,15,16,17,18,19,20,21,22,23,24],[12,13,14,15,16,17,18,19,20,21,22,23,24],[12,13,14,15,16,17,18,19,20,21,22,23,24],[12,13,14,15,16,17,18,19,20,21,22,23,24],[12,13,14,15,16,17,18,19,20,21,22,23,24]]",UNSATISFIABLE,18be3d0d6ef0baf780d4be54228c3d0bdc4b2506667a4834ba6477beabf67f53
016_overlapping_hall_violation_default_scale14.cnf,overlapping_hall_violation,14,default,0,31016,420,5699,5699,5699,0,29,29,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7,8,9,10,11,12,13],[0,1,2,3,4,5,6,7,8,9,10,11,12,13],[0,1,2,3,4,5,6,7,8,9,10,11,12,13],[0,1,2,3,4,5,6,7,8,9,10,11,12,13],[0,1,2,3,4,5,6,7,8,9,10,11,12,13],[0,1,2,3,4,5,6,7,8,9,10,11,12,13],[0,1,2,3,4,5,6,7,8,9,10,11,12,13],[0,1,2,3,4,5,6,7,8,9,10,11,12,13],[0,1,2,3,4,5,6,7,8,9,10,11,12,13],[0,1,2,3,4,5,6,7,8,9,10,11,12,13],[0,1,2,3,4,5,6,7,8,9,10,11,12,13],[0,1,2,3,4,5,6,7,8,9,10,11,12,13],[0,1,2,3,4,5,6,7,8,9,10,11,12,13],[0,1,2,3,4,5,6,7,8,9,10,11,12,13],[0,1,2,3,4,5,6,7,8,9,10,11,12,13],[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28],[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28],[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28],[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28],[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28],[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28],[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28],[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28],[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28],[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28],[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28],[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28],[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28],[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]]",UNSATISFIABLE,58a2d68ff5124ecdd9890140f5f9ad80221e7e14068ccc7094a993a0ece61f51
017_overlapping_hall_violation_default_scale16.cnf,overlapping_hall_violation,16,default,0,31017,544,8465,8465,8465,0,33,33,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32],[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32],[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32],[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32],[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32],[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32],[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32],[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32],[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32],[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32],[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32],[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32],[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32],[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32],[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32],[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]]",UNSATISFIABLE,c030816b9028391df8320aee8c071f58079b030e6c47230e1dbd5940465968b8
018_overlapping_hall_violation_default_scale18.cnf,overlapping_hall_violation,18,default,0,31018,684,12007,12007,12007,0,37,37,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36],[18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]]",UNSATISFIABLE,383b29fa8ee2e6673f930a336beeb3855659043067fa95070c45b7e1d158f0e6
019_capacity2_violation_default_scale3.cnf,capacity2_violation,3,default,0,31019,21,133,133,133,0,7,3,"[1,1,1,1,1,1,1]","[2,2,2]","[[0,1,2],[0,1,2],[0,1,2],[0,1,2],[0,1,2],[0,1,2],[0,1,2]]",UNSATISFIABLE,5bdc7f5e1213720d7e6fcedb724e9641e9dead86dee6c5b2cc002e19f53174d4
020_capacity2_violation_default_scale4.cnf,capacity2_violation,4,default,0,31020,36,399,399,399,0,9,4,"[1,1,1,1,1,1,1,1,1]","[2,2,2,2]","[[0,1,2,3],[0,1,2,3],[0,1,2,3],[0,1,2,3],[0,1,2,3],[0,1,2,3],[0,1,2,3],[0,1,2,3],[0,1,2,3]]",UNSATISFIABLE,f8fba1ed4de970af85057f3cfa79edaf64a9ea6ff0979646d74917d382136c3e
021_capacity2_violation_default_scale5.cnf,capacity2_violation,5,default,0,31021,55,946,946,946,0,11,5,"[1,1,1,1,1,1,1,1,1,1,1]","[2,2,2,2,2]","[[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4]]",UNSATISFIABLE,c92e5e4a7962311241d38d25c90cb0b0bc01ebb87cbbac0cc3799a52214a7f48
022_capacity2_violation_default_scale6.cnf,capacity2_violation,6,default,0,31022,78,1924,1924,1924,0,13,6,"[1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,2,2,2,2,2]","[[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,2,3,4,5]]",UNSATISFIABLE,b44b7cbac646d700d9647253d428ae639d7ee5556ddd7ba426df3b8c7f985066
023_capacity2_violation_default_scale7.cnf,capacity2_violation,7,default,0,31023,105,3515,3515,3515,0,15,7,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,2,2,2,2,2,2]","[[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6]]",UNSATISFIABLE,78a1c1e92f74e57880bce68779390838aaa3aa5477b22f693b032f4a90f65982
024_capacity2_violation_default_scale8.cnf,capacity2_violation,8,default,0,31024,136,5933,5933,5933,0,17,8,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,2,2,2,2,2,2,2]","[[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7]]",UNSATISFIABLE,64b068f4fc93ae77b8e4ce1d087fb93c62caf70f0aec009d981234feb0898240
025_hidden_pigeonhole_default_scale6.cnf,hidden_pigeonhole,6,default,0,31025,177,288,141,288,0,6,5,"[1,1,1,1,1,1]","[1,1,1,1,1]","[[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4]]",UNSATISFIABLE,adcbdc8455506e0ed426378d3fbb459f04898b2d4d57b945c8fee93d4c32c3ce
