instance,source,set,domain,cnf_sha256,solver,status,untimed_wall_ms,timing_valid,pool_workers
bf1355-075.cnf,SATLIB,bf,eda_circuit_fault,84cbdea25943d63b9ca46f3fc86c4f5397b70e987855dcb0b7b6908915bb9325,kissat,UNSATISFIABLE,34.450558,False,8
bf1355-638.cnf,SATLIB,bf,eda_circuit_fault,bd8dfc4ce8796d35addb3764eed045ab36f938dff144e08dc8e901a09def9adb,kissat,UNSATISFIABLE,66.975259,False,8
bf2670-001.cnf,SATLIB,bf,eda_circuit_fault,f68ef1571e8d8aea62ad6b3d369d915f2c1cec6e7e4d140157b05e543ff9ffe0,kissat,UNSATISFIABLE,66.54993,False,8
2bitadd_10.cnf,SATLIB,beijing,planning_scheduling,90143db97d9e1c1cf550cd3a5ab2376c3829b4da8f77ea9ca9c02cb7282e6e0b,kissat,UNSATISFIABLE,5836.842419,False,8
2bitadd_11.cnf,SATLIB,beijing,planning_scheduling,e44f1e76529a113f562c600adae4e70822067adf4bda65f0bf447457e5b7398a,kissat,SATISFIABLE,116.715233,False,8
2bitadd_12.cnf,SATLIB,beijing,planning_scheduling,56e5ed82333d00505354ccc989712b531995c890191c9fe9dd0de9bb522393a1,kissat,SATISFIABLE,116.457366,False,8
2bitcomp_5.cnf,SATLIB,beijing,planning_scheduling,de54f317604f0d8417340897488986a4d55b26ceb54c46bc2af127f3f0cc0a77,kissat,SATISFIABLE,35.29103,False,8
2bitmax_6.cnf,SATLIB,beijing,planning_scheduling,434fff529d848b08664ac7c24397b4609914151c929553fc18893448bb86be2a,kissat,SATISFIABLE,35.24854,False,8
3bitadd_31.cnf,SATLIB,beijing,planning_scheduling,f8efb5753b0dd6d012a8142cf2a42f19026336aedebc8fd2c852d66f2eae5a2c,kissat,SATISFIABLE,217.265346,False,8
3bitadd_32.cnf,SATLIB,beijing,planning_scheduling,acd010ed164afe399b735c872936e1e9a565d269a3ee0c934fce7d7b43a74320,kissat,SATISFIABLE,618.579379,False,8
3blocks.cnf,SATLIB,beijing,planning_scheduling,4cb9f6ec0c3b1854d58f321369a107d0e1cfdd17f9381829fbc30cefd6660c54,kissat,SATISFIABLE,116.917216,False,8
4blocks.cnf,SATLIB,beijing,planning_scheduling,2716032823c7d324ea311a2916bf79ac4da7771ea5d56b910cd6063e542a286c,kissat,SATISFIABLE,367.557279,False,8
4blocksb.cnf,SATLIB,beijing,planning_scheduling,a892f3d5f36bc21cf5398c062721561c4bc553527c3ed8e4fb9283c0aa04a629,kissat,SATISFIABLE,217.081389,False,8
e0ddr2-10-by-5-1.cnf,SATLIB,beijing,planning_scheduling,25a49f01764090ece23d8b7994e023f6ea7e52d5fc25fa067b96b8be0eb681e5,kissat,SATISFIABLE,267.267909,False,8
e0ddr2-10-by-5-4.cnf,SATLIB,beijing,planning_scheduling,060a44c813935b5289a36217b0648ed2dae60b6cf0820fb985cab761a3f96d25,kissat,SATISFIABLE,117.34026,False,8
enddr2-10-by-5-1.cnf,SATLIB,beijing,planning_scheduling,1197125be54524d0f6b3dc6b9fd88f7b0f313fd8509c3bc7537e7730cfa80076,kissat,SATISFIABLE,118.507915,False,8
enddr2-10-by-5-8.cnf,SATLIB,beijing,planning_scheduling,3e188edbc7a068703a90a865a3a7d7f2954a423d74c149b61b0719a6145d7a63,kissat,SATISFIABLE,66.584776,False,8
ewddr2-10-by-5-1.cnf,SATLIB,beijing,planning_scheduling,eaa482265d5188b10c8c9a45f561c26fe06b6c18d585394ccde550816b8b97c4,kissat,SATISFIABLE,116.644459,False,8
ewddr2-10-by-5-8.cnf,SATLIB,beijing,planning_scheduling,47f29473e786732f1466f08203d49da0a99de74fa138506f6a074632b0272d7d,kissat,SATISFIABLE,267.651165,False,8
logistics.a.cnf,SATLIB,planning-logistics,planning_scheduling,58143abb64d57e922442a58e775a1c67f9b62435a99a200fb153237d2bf0adf4,kissat,SATISFIABLE,117.091559,False,8
logistics.b.cnf,SATLIB,planning-logistics,planning_scheduling,68103b82ea3b996eac2ec43210aa9b55bd2900311f11fe1ed33077cc3107198e,kissat,SATISFIABLE,118.05268,False,8
logistics.c.cnf,SATLIB,planning-logistics,planning_scheduling,28b9d59a6b980762de3b6ef359b192732505d10bad2805bcca76fb56331f098f,kissat,SATISFIABLE,117.9316,False,8
logistics.d.cnf,SATLIB,planning-logistics,planning_scheduling,29ef906fbc201db077488cc4f053d57218a033dba37fe112405ec20036cbea3c,kissat,SATISFIABLE,116.482203,False,8
bw_large.a.cnf,SATLIB,planning-blocksworld,planning_scheduling,4818c621266c68ef3f6f37ca27652d703b6530ddbc6dcac7b42d5cc65be3b0f7,kissat,SATISFIABLE,118.239492,False,8
bw_large.b.cnf,SATLIB,planning-blocksworld,planning_scheduling,5afee43155740578959da99bd35cda95ce8b931879f87588e7aa4c7cb8f775bd,kissat,SATISFIABLE,118.179208,False,8
bw_large.c.cnf,SATLIB,planning-blocksworld,planning_scheduling,a854ebc3c5486831d968c0ea66cd8840c9fbfeb1e1e792de5e2d4ff8547b5373,kissat,SATISFIABLE,268.520464,False,8
bw_large.d.cnf,SATLIB,planning-blocksworld,planning_scheduling,04ef41298c5ee41297669ca193516af91a2d009e3ed4b64d068ab1540d3ff1ba,kissat,SATISFIABLE,467.635126,False,8
anomaly.cnf,SATLIB,planning-blocksworld,planning_scheduling,a0406b6cb576486cdc724288498086fc5d1a58ebe96d92b41d78a8d8b7d59864,kissat,SATISFIABLE,34.157547,False,8
medium.cnf,SATLIB,planning-blocksworld,planning_scheduling,52b247973bbe7be38c4b0a890576b13489ffe0d114500f08df396b4cd6bf16c4,kissat,SATISFIABLE,34.987402,False,8
huge.cnf,SATLIB,planning-blocksworld,planning_scheduling,305757cd5b23959a714c37efcdb2596bde921323bbf74ee5a7ba878aff838dba,kissat,SATISFIABLE,116.637791,False,8
hanoi4.cnf,SATLIB,hanoi,planning_scheduling,ab38df56b8ecdbe955a22df3b1b1afbd3c3f98f6c6ee33e391b3bd67db903f4d,kissat,SATISFIABLE,218.0398,False,8
hanoi5.cnf,SATLIB,hanoi,planning_scheduling,4205042bcd7d63a57d26ba0a3e05e0c775181262838ef8286337bb1676730413,kissat,SATISFIABLE,1421.299884,False,8
ais10.cnf,SATLIB,ais,matching_capacity,ad741512139517014389bab114087f35fb8ffc205dd4e243b2bcab28c77413fa,kissat,SATISFIABLE,35.051151,False,8
ais12.cnf,SATLIB,ais,matching_capacity,11bf168f81fd3302eb1367d35b9cacc3459f585e080dae87aba14e69df3f727b,kissat,SATISFIABLE,34.761996,False,8
ais6.cnf,SATLIB,ais,matching_capacity,931c7623e7b3174ff91541d30ca83a19c96036d4f99bbe65441facc3103da95e,kissat,SATISFIABLE,35.525794,False,8
ais8.cnf,SATLIB,ais,matching_capacity,7288722a730cd949069ac0877dcfdb9fab518185f217e8d63f1c1c29035a6ddb,kissat,SATISFIABLE,67.103116,False,8
hole10.cnf,SATLIB,pigeon-hole,matching_capacity,a8c786ce602fd368158c216bdf58882a3aa1b9cd844f78eb24487fc12711c56f,kissat,UNSATISFIABLE,3777.955122,False,8
hole6.cnf,SATLIB,pigeon-hole,matching_capacity,1c2da59d23617fa81637a8a56c359002eaaa807a27d70fb684645f84e2361fd7,kissat,UNSATISFIABLE,66.926112,False,8
hole7.cnf,SATLIB,pigeon-hole,matching_capacity,225791cbb02429d71bae87f331460d456ee11fecc384a6af049813f42e6319ab,kissat,UNSATISFIABLE,117.186593,False,8
hole8.cnf,SATLIB,pigeon-hole,matching_capacity,e63ad9adca73c42dab2f89a3cec77dbf7800d595f72ce740b32004431e1bfd84,kissat,UNSATISFIABLE,217.006253,False,8
hole9.cnf,SATLIB,pigeon-hole,matching_capacity,e5821911954338bdf496866bdbdf2bab123cbc09dd8e6d19a38277f393bc30c6,kissat,UNSATISFIABLE,568.032801,False,8
flat200-1.cnf,SATLIB,flat200,matching_capacity,f8516312492ea618618ffb65b0052dbfc8c3563c4ee5c341d24bf5b84e30f39f,kissat,SATISFIABLE,75.767997,False,8
flat200-10.cnf,SATLIB,flat200,matching_capacity,211ba100787590ee5694c428c6ec00a5eb41039a1fca2c97dd241b845fff8ad4,kissat,SATISFIABLE,116.764856,False,8
flat200-100.cnf,SATLIB,flat200,matching_capacity,a36dbcbb9fbc4fa7a38b006d92a90d9bb13a24ae9793bdb652df652da698d9fb,kissat,SATISFIABLE,66.526705,False,8
flat200-11.cnf,SATLIB,flat200,matching_capacity,aff4783537aac1926a05f4d66129aa30e6e6ea254c1eb43f1aea2e38edbe2b52,kissat,SATISFIABLE,67.188071,False,8
flat200-12.cnf,SATLIB,flat200,matching_capacity,41c1b36d5f27356313a5a5600c2b04667211b7bd2021a91afd8f48f3b2b54f4b,kissat,SATISFIABLE,167.206086,False,8
flat200-13.cnf,SATLIB,flat200,matching_capacity,9ee29df4d3137a495d9ec8a4db174cecd72382a0307316db72774c2450c6370b,kissat,SATISFIABLE,67.578517,False,8
flat200-14.cnf,SATLIB,flat200,matching_capacity,e106756e606efe8519cd347abb01284676f661bfebd15b899ae80c9ed42e6d8e,kissat,SATISFIABLE,116.829396,False,8
flat200-15.cnf,SATLIB,flat200,matching_capacity,51008ad96f2e723e606fec4aa5a98a4558fa3820d952e6d8275a468bd2b0779a,kissat,SATISFIABLE,117.193936,False,8
flat200-16.cnf,SATLIB,flat200,matching_capacity,2d9d77f4cfbc8272e78cd13bc7e5b352ee10f678c58caed3aad9d8ebd4fccc21,kissat,SATISFIABLE,167.728724,False,8
flat200-17.cnf,SATLIB,flat200,matching_capacity,c421fcf1c405b4fc2e92f31a1aa1c9fb729f7877062330a7649d03216c55393e,kissat,SATISFIABLE,67.065355,False,8
flat200-18.cnf,SATLIB,flat200,matching_capacity,8c92511ae9bce3143d4d4ecd1382a86847928ce1eaed6524a7eb6137c829bca5,kissat,SATISFIABLE,66.140874,False,8
flat200-19.cnf,SATLIB,flat200,matching_capacity,79419fc1899c90cf1de1435d9449f18d4637e3202790c80df2bad2be23bbf609,kissat,SATISFIABLE,66.16382,False,8
flat200-2.cnf,SATLIB,flat200,matching_capacity,b48527a20b6324333fd9681e0468dc03930da4466653b2ff8782c897b2369ea7,kissat,SATISFIABLE,166.817648,False,8
flat200-20.cnf,SATLIB,flat200,matching_capacity,2b8512b2c60defceb25c1aab77c7a3fded0909de3c7df373f5bbeeca1d37a0ac,kissat,SATISFIABLE,117.158438,False,8
flat200-21.cnf,SATLIB,flat200,matching_capacity,768057fc768e6fe5a1a60838a9d0b6dd0070db93b30bc2ed0dfa1cc0898d319a,kissat,SATISFIABLE,66.569257,False,8
flat200-22.cnf,SATLIB,flat200,matching_capacity,42c7ad26c98e8b148bdb6a1310426120c369ea68e1133f166af3a800855a3275,kissat,SATISFIABLE,116.836513,False,8
flat200-23.cnf,SATLIB,flat200,matching_capacity,eedc8dc1b8455cfdccc5fc295d941b3b93636aaba941ace93c115be333259f12,kissat,SATISFIABLE,66.930095,False,8
flat200-24.cnf,SATLIB,flat200,matching_capacity,4a5d42bf6b0e9a3d535f3bbae344c50145b3dd5f8e82922cdeccf549fe799c38,kissat,SATISFIABLE,66.919824,False,8
flat200-25.cnf,SATLIB,flat200,matching_capacity,a9e24361d10980023fd15b9b39a04d770c33a6bdb963802acac733683870ef9a,kissat,SATISFIABLE,117.032911,False,8
flat200-26.cnf,SATLIB,flat200,matching_capacity,64bebc2c1c14f9d18f32bfdf29d09f70e7665931fdf3892fb0a50a06351113ef,kissat,SATISFIABLE,167.763599,False,8
flat200-27.cnf,SATLIB,flat200,matching_capacity,0c17fe858fe4a1a470706631dfcd5e56994dc46ec615c5212fc5c6ff376a1ef4,kissat,SATISFIABLE,117.328543,False,8
flat200-28.cnf,SATLIB,flat200,matching_capacity,0fcee5d2af4c99d1b5c1135ce00f9c24057198a80ab17f97e0d5463d6825352b,kissat,SATISFIABLE,117.077644,False,8
flat200-29.cnf,SATLIB,flat200,matching_capacity,81dcb56e0c003a41d95217c15b0e226764b0110c54fe5cbd0f122eaa9abfa4ec,kissat,SATISFIABLE,117.043952,False,8
flat200-3.cnf,SATLIB,flat200,matching_capacity,647b7edb568f358ae65fe4323f496638f636fb90902dcde900793b2fe4067aff,kissat,SATISFIABLE,117.080415,False,8
flat200-30.cnf,SATLIB,flat200,matching_capacity,f86fdf3c40ec8cba1930b2e911274a4234e7c71b4fa0f7abdee0279710019f0a,kissat,SATISFIABLE,116.775689,False,8
flat200-31.cnf,SATLIB,flat200,matching_capacity,c4648f9163b028bf1c8fb428532a4016480b6af5ddb93ceefeca8c6507ca9e43,kissat,SATISFIABLE,116.854446,False,8
flat200-32.cnf,SATLIB,flat200,matching_capacity,bbe44c3e9e5df91b42e85abc4432d39341da89e124a47ba2a748cd03ab3c470d,kissat,SATISFIABLE,66.903699,False,8
flat200-33.cnf,SATLIB,flat200,matching_capacity,be8f06e82426f4ab411049a2d10e0ad9b21cf173f2e79afb790acfa7ac70c4a5,kissat,SATISFIABLE,68.522348,False,8
flat200-34.cnf,SATLIB,flat200,matching_capacity,23d5c9de7f9e0692d4ecf0580cb40cad339b8b44e4c0a71f7d02df8a382f920e,kissat,SATISFIABLE,116.800222,False,8
flat200-35.cnf,SATLIB,flat200,matching_capacity,c711d16050357b65233b0e32388390fd4378c8f846bc84503e37aa8790ef35a4,kissat,SATISFIABLE,66.499791,False,8
flat200-36.cnf,SATLIB,flat200,matching_capacity,3efa91c974eb2497c62d742e3d1a01b3c062d4fb01ae1869ff6056c168f7f20b,kissat,SATISFIABLE,67.726014,False,8
flat200-37.cnf,SATLIB,flat200,matching_capacity,c93f4d53252467ebf789108ca1296e27aeae791f82be7f61ae5fddeeb8eb4b6e,kissat,SATISFIABLE,66.63156,False,8
flat200-38.cnf,SATLIB,flat200,matching_capacity,2f64b3872472cf8e07d9ccfa8c3f5a7a5a32a5e86a0a1936afc02ed6cc7486be,kissat,SATISFIABLE,117.626803,False,8
flat200-39.cnf,SATLIB,flat200,matching_capacity,e3d07612e4b276825b1ac524f3b927f7a635e4772fae7498559e97680b278898,kissat,SATISFIABLE,167.921637,False,8
flat200-4.cnf,SATLIB,flat200,matching_capacity,6e04705af7542e0607e746ec651c07f6785612e4a3101d850854ad7eb660cd7f,kissat,SATISFIABLE,67.274208,False,8
flat200-40.cnf,SATLIB,flat200,matching_capacity,5920670698ce539ccb1dc427670fb04a3961a6643ae1d97cf6082ffadf7a73f1,kissat,SATISFIABLE,67.628395,False,8
flat200-41.cnf,SATLIB,flat200,matching_capacity,12a706703831a05829978b3183a57b706a2e4b281a34b036aa1962435a02a548,kissat,SATISFIABLE,68.363628,False,8
flat200-42.cnf,SATLIB,flat200,matching_capacity,35ccebb0182284a7c75783f67d864187a4b2762110920e8fca887cd1ab3478fb,kissat,SATISFIABLE,66.283506,False,8
flat200-43.cnf,SATLIB,flat200,matching_capacity,28f1a9771ccfa5e8ee99cc3ba3be619752adc694d21f6d5ce05d591f89e36696,kissat,SATISFIABLE,68.033786,False,8
flat200-44.cnf,SATLIB,flat200,matching_capacity,8ed5fc0a28bae0309548bb50eb44cbf16643966fe368cc89a342066b495b0540,kissat,SATISFIABLE,67.80301,False,8
flat200-45.cnf,SATLIB,flat200,matching_capacity,17e9903a95a5c965022e6722a8864e5bac420c1e3d73ebbbfabdf9f1e4376849,kissat,SATISFIABLE,67.649682,False,8
flat200-46.cnf,SATLIB,flat200,matching_capacity,beb4ed1279cb03b50cf080e2a6fc11d8a5d8be89289ef918f23a529784c4dbf0,kissat,SATISFIABLE,118.146497,False,8
flat200-47.cnf,SATLIB,flat200,matching_capacity,abd0e5161a6976391c27ce66bfc66973b9c3dafb443b813d6b4f48ce71dfee48,kissat,SATISFIABLE,117.410634,False,8
flat200-48.cnf,SATLIB,flat200,matching_capacity,48b561ade122c54d9b90aa3c0fc06cf02b0436e2a18574a65154f4874bc5a709,kissat,SATISFIABLE,68.736133,False,8
flat200-49.cnf,SATLIB,flat200,matching_capacity,3128a2910fbfc1cedd76854d5783b76a59dc1c83ae169edaecd34f5951ae7752,kissat,SATISFIABLE,70.122948,False,8
flat200-5.cnf,SATLIB,flat200,matching_capacity,2d3084e564c9de3568933a2984ff48bf033238bc1ebf8195a1b6f999ecc95306,kissat,SATISFIABLE,120.031597,False,8
flat200-50.cnf,SATLIB,flat200,matching_capacity,a14709485d9ce4b076d842174f249f56a879f6dcf6ed88f6b1a5b97784091a3b,kissat,SATISFIABLE,116.627446,False,8
flat200-51.cnf,SATLIB,flat200,matching_capacity,5c3d52cbb793483fb1abfe54d723dde5d70a1d5f85fcba217c4e3859dd000de1,kissat,SATISFIABLE,117.307409,False,8
flat200-52.cnf,SATLIB,flat200,matching_capacity,099540385508ba08f0394186ae853179c8a8ed1e66b5e85350fb69bd81a28601,kissat,SATISFIABLE,66.953726,False,8
flat200-53.cnf,SATLIB,flat200,matching_capacity,b450a31ed57f8cd825d067def20efcc6bd2914ea87e362ea0949bb013a3c7528,kissat,SATISFIABLE,66.567855,False,8
flat200-54.cnf,SATLIB,flat200,matching_capacity,5eacd3d92e3d23e85b3c8e5aada03b1843e33089044cd0194d98175d34b45d03,kissat,SATISFIABLE,167.96108,False,8
flat200-55.cnf,SATLIB,flat200,matching_capacity,aabc016af6b751a93d777f1398cf10958759c280ac1946fc04f40e1676665076,kissat,SATISFIABLE,67.030281,False,8
flat200-56.cnf,SATLIB,flat200,matching_capacity,0beb8510bf58f42d2e266bb2317d18115379ffe9bab6f3de6b3c87c44d6edb45,kissat,SATISFIABLE,118.674652,False,8
flat200-57.cnf,SATLIB,flat200,matching_capacity,78e355466d574eb1529547edb2f22ebf7359248d762a1745a386ab16d9f99824,kissat,SATISFIABLE,117.210981,False,8
flat200-58.cnf,SATLIB,flat200,matching_capacity,765863c57d45cb41ac7b16c4a2ba3d1d44e21ec2c07733ba1dbb14398964daf7,kissat,SATISFIABLE,117.021555,False,8
flat200-59.cnf,SATLIB,flat200,matching_capacity,727122595b1fe33c753f7213fc06c60ab5d1d1f3a7512841b09c65e8d4f62098,kissat,SATISFIABLE,120.837838,False,8
flat200-6.cnf,SATLIB,flat200,matching_capacity,5994035a9d55e44c194d8bce0c4f83a17cb63a24d1109a1b48cbbac86d22cdd1,kissat,SATISFIABLE,118.083606,False,8
flat200-60.cnf,SATLIB,flat200,matching_capacity,15c85f1933ee17f3556f6a9bd9576162d2eea6709a6cd0c62bb9416e32ba4fe0,kissat,SATISFIABLE,67.410127,False,8
flat200-61.cnf,SATLIB,flat200,matching_capacity,872d5f8ab4a8a4d2723a5cd645b814000a51a3a2acb944fb5497be26591cad10,kissat,SATISFIABLE,67.47881,False,8
flat200-62.cnf,SATLIB,flat200,matching_capacity,f09ac4b7e7ba877877390e67c0b5e038d5e80222e4d3ae321ff4617201c88dad,kissat,SATISFIABLE,118.075003,False,8
flat200-63.cnf,SATLIB,flat200,matching_capacity,6b96952969395627f2eb8359caf244fc937863d74a32898aacacee03999b2709,kissat,SATISFIABLE,118.328941,False,8
flat200-64.cnf,SATLIB,flat200,matching_capacity,35b81504c10dbde4b913818881fe84ff51bb55dca452fb4346db14e9351d0505,kissat,SATISFIABLE,117.960413,False,8
flat200-65.cnf,SATLIB,flat200,matching_capacity,e88a9cc8be790cf8e038643237cec91eaf548a59c21ef316693e99c46b8b5dbc,kissat,SATISFIABLE,169.148197,False,8
flat200-66.cnf,SATLIB,flat200,matching_capacity,74b0ccaf8cfaf6f76d887d1bfdfa7739488d8018ba9f8516b83e5278c663faca,kissat,SATISFIABLE,218.502926,False,8
flat200-67.cnf,SATLIB,flat200,matching_capacity,c82881c44c6b0dfe4a30236725e4bb7255b5b828d3e518902f5d6e404a6bece4,kissat,SATISFIABLE,117.205662,False,8
flat200-68.cnf,SATLIB,flat200,matching_capacity,8385c705a2bc3281c6f252eea2398e6aec71d1e717d765319a0303a447a8775a,kissat,SATISFIABLE,117.320905,False,8
flat200-69.cnf,SATLIB,flat200,matching_capacity,a5b9e6c57d1d24f36a62bd3c813abaceb7c124616b130e0160ae9d63cfd02596,kissat,SATISFIABLE,67.582609,False,8
flat200-7.cnf,SATLIB,flat200,matching_capacity,c40913c31ea3992c5853e97e185d0fab92119e3a1b89642e1d73fda74950eded,kissat,SATISFIABLE,117.281474,False,8
flat200-70.cnf,SATLIB,flat200,matching_capacity,30e38d0219320eca8afa72d4cfdcffe78821e12370252e66a8a2ad4a6d149bdb,kissat,SATISFIABLE,67.114326,False,8
flat200-71.cnf,SATLIB,flat200,matching_capacity,d877292fef5b181106d7e342268af0c93c5ca4ae7f0df10dadb335ca7c7dfcee,kissat,SATISFIABLE,66.497012,False,8
flat200-72.cnf,SATLIB,flat200,matching_capacity,ca7f210e1eafa2c8a3db0638a6d7df81ee002c1a214c137dba4047986723b189,kissat,SATISFIABLE,66.451179,False,8
flat200-73.cnf,SATLIB,flat200,matching_capacity,085508c142791efb023f4f67d3f41bd832f554477365d7d12b4753f0793868f1,kissat,SATISFIABLE,117.107747,False,8
flat200-74.cnf,SATLIB,flat200,matching_capacity,23ff80118c9f6a1e37914c455b91cfe887135b8a35fc565f726f478023a386d0,kissat,SATISFIABLE,167.559195,False,8
flat200-75.cnf,SATLIB,flat200,matching_capacity,fecf6f10809016d6db6ddbe693f1d0db6cf7f2e47cfdf6f9463770977a9c5bc8,kissat,SATISFIABLE,116.99994,False,8
flat200-76.cnf,SATLIB,flat200,matching_capacity,2d30820cbf9bb61848477bea09aec93303b59713b5cfffe7d04894a431b3fc30,kissat,SATISFIABLE,117.238309,False,8
flat200-77.cnf,SATLIB,flat200,matching_capacity,0c65c506d970994cce4f84c41602cce9494090a8f66b83aa7e59205d3663959f,kissat,SATISFIABLE,116.828506,False,8
flat200-78.cnf,SATLIB,flat200,matching_capacity,064cda2f870edd09c0be97b7e89cd12c0bb6cfd50f840b9a7edb263450da62b6,kissat,SATISFIABLE,117.625155,False,8
flat200-79.cnf,SATLIB,flat200,matching_capacity,0777f0b8cd82605d4501bc339b4af3c647877a7953987209d670958ac094540e,kissat,SATISFIABLE,66.83936,False,8
flat200-8.cnf,SATLIB,flat200,matching_capacity,ad98e4a216afa4dea80baca382080d90bffd98353686f81c10410ce4ebe9404f,kissat,SATISFIABLE,66.697595,False,8
flat200-80.cnf,SATLIB,flat200,matching_capacity,e8da5bd94805bd9ecb6333eddef02a379947025f88c4bfa8c7df73aa3d096dd7,kissat,SATISFIABLE,167.120826,False,8
flat200-81.cnf,SATLIB,flat200,matching_capacity,6e64d35f8677aed3107349f2d2ad0035790add265acc07152d64017b3eca54c0,kissat,SATISFIABLE,118.028611,False,8
flat200-82.cnf,SATLIB,flat200,matching_capacity,4a41b7407d3a701cd175bbb81581e75c5056c3304aea6b602e559948b353c434,kissat,SATISFIABLE,118.595199,False,8
flat200-83.cnf,SATLIB,flat200,matching_capacity,3c66b717116452a2ba6a98d0ed3c17f5aa5e2ee979f29f526c88f88ddae3f0f8,kissat,SATISFIABLE,117.942787,False,8
flat200-84.cnf,SATLIB,flat200,matching_capacity,0531e4a3ae0eabf6db5c4d52655cbd4171420eb188ac9c0a32c07e5e85a0266c,kissat,SATISFIABLE,67.868462,False,8
flat200-85.cnf,SATLIB,flat200,matching_capacity,85e173c64653334f373d500e90ddaaeb046ad99d429c8493e88d7ca5650b1e27,kissat,SATISFIABLE,117.254,False,8
