seed,boxes,resources,demands,capacities,reachable,exhaustive_result,python_flow_result,native_flow_result,exhaustive_subset,exhaustive_ms,python_flow_ms,native_flow_ms,mismatch
700020,6,5,"[1,1,2,1,2,1]","[3,1,3,3,1]","[[0,1,2,4],[0,4],[1,2,3,4],[0],[0,4],[3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.308185,0.144138,0.00386,False
700021,5,6,"[1,1,1,3,3]","[2,2,1,2,3,2]","[[0,1,2,3,4,5],[1,4,5],[0,3,5],[0,3,5],[0,3,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.173341,0.07307,0.004168,False
700022,7,6,"[2,1,1,2,1,1,1]","[3,2,3,2,2,1]","[[1,2],[0,1,2,3,5],[0,2],[0,1,2,3,4,5],[3],[1,4],[3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.769338,0.058096,0.003522,False
700023,2,6,"[1,3]","[3,3,2,3,1,3]","[[0,3],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.017699,0.029102,0.001548,False
700024,7,1,"[1,1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.013575,0.050262,0.002294,False
700025,1,6,[1],"[3,3,2,1,2,3]","[[1,3,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.007068,0.017147,0.001097,False
700026,7,3,"[2,2,2,1,1,1,2]","[3,3,2]","[[0,1],[0,1,2],[0,1,2],[2],[0,1,2],[1],[1,2]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3, 6]",0.326537,0.071938,0.004418,False
700027,5,2,"[1,2,1,1,2]","[3,3]","[[0,1],[0,1],[0,1],[0,1],[0,1]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3, 4]",0.082364,0.053856,0.003126,False
700028,6,7,"[3,1,2,1,1,2]","[3,2,1,1,3,2,2]","[[1,2,3,5],[0,1,2,4,5,6],[0,2,3,4,5,6],[6],[0,1,2,3,4,5,6],[1,2,3,4,5,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.451555,0.076973,0.004848,False
700029,3,5,"[1,1,1]","[3,3,1,1,1]","[[1,2],[3],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.034544,0.026683,0.001284,False
700030,7,3,"[2,1,1,2,2,1,1]","[3,1,2]","[[0,1,2],[2],[0,1,2],[0,2],[0,1,2],[1],[0,1,2]]",UNSAT,UNSAT,UNSAT,"[0, 1, 3, 4]",0.30193,0.069438,0.004129,False
700031,3,3,"[1,1,2]","[3,2,3]","[[1],[0,1,2],[0,1,2]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.023275,0.027436,0.001513,False
700032,6,3,"[2,1,2,1,1,3]","[3,2,1]","[[0,1],[2],[0,2],[0,1,2],[1],[0,1,2]]",UNSAT,UNSAT,UNSAT,"[1, 2]",0.035185,0.059648,0.033958,False
700033,5,1,"[1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.025715,0.038078,0.003119,False
700034,6,5,"[1,1,3,1,1,1]","[3,3,3,1,2]","[[0],[0,1,3,4],[0,1,3,4],[3],[0,1,2,3,4],[0,1,2,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.299392,0.065503,0.004117,False
700035,4,2,"[1,1,1,1]","[1,3]","[[0,1],[1],[0],[1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.036252,0.036473,0.001871,False
700036,1,4,[2],"[3,1,2,1]","[[2,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.005276,0.016502,0.000934,False
700037,4,3,"[1,3,1,2]","[3,3,2]","[[0],[0,1,2],[0],[0,1]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3]",0.046785,0.050625,0.002518,False
700038,3,7,"[2,2,1]","[2,3,1,1,1,2,2]","[[0,1,2,3,4,5,6],[1,4,5],[0,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.043128,0.036229,0.002338,False
700039,6,7,"[1,2,1,2,2,1]","[3,1,1,1,2,3,3]","[[1,2,6],[0,1,2,4,5,6],[2],[0,2,4],[1,2,3,4],[6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.427204,0.077708,0.004294,False
700040,5,3,"[1,2,3,2,1]","[3,2,3]","[[0,2],[1,2],[0,1,2],[0,2],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3, 4]",0.155399,0.061845,0.003106,False
700041,1,6,[2],"[1,3,2,1,3,2]","[[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.006791,0.113891,0.001262,False
700042,2,1,"[1,1]",[2],"[[0],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.007201,0.015007,0.000741,False
700043,4,2,"[2,1,1,1]","[2,2]","[[0,1],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.024836,0.037176,0.001861,False
700044,5,1,"[1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.0244,0.037534,0.001768,False
700045,4,1,"[1,1,1,1]",[2],"[[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.017583,0.032398,0.002088,False
700046,3,7,"[3,1,2]","[3,3,1,2,2,1,1]","[[1,2,4,5,6],[1,3],[0,2,3,4,5,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.042138,0.03897,0.002892,False
700047,5,2,"[1,1,1,1,1]","[2,2]","[[0,1],[1],[1],[0],[1]]",UNSAT,UNSAT,UNSAT,"[1, 2, 4]",0.049982,0.038688,0.002906,False
700048,7,1,"[1,1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3]",0.090912,0.045325,0.002296,False
700049,3,2,"[2,2,1]","[1,1]","[[0,1],[0,1],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.010283,0.033947,0.001952,False
700050,2,2,"[1,1]","[1,2]","[[1],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.008349,0.016515,0.000915,False
700051,3,1,"[1,1,1]",[3],"[[0],[0],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.012273,0.019232,0.000934,False
700052,5,6,"[2,3,3,3,3]","[2,3,2,2,1,3]","[[0,1,2,3,4,5],[1,2,3,4,5],[1,2,3,4,5],[0,2,3,5],[0,1,2,3,4,5]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3, 4]",0.167808,0.12192,0.007866,False
700053,3,7,"[1,1,2]","[3,3,3,2,2,3,2]","[[1,2,5],[0,4,5],[1,2,3,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.055489,0.032602,0.001886,False
700054,3,3,"[3,1,2]","[3,1,1]","[[0,1,2],[0],[0,2]]",UNSAT,UNSAT,UNSAT,"[0, 2]",0.015839,0.121388,0.002155,False
700055,4,7,"[2,1,2,1]","[2,2,2,3,1,3,3]","[[0,1,2,3,4,5,6],[3],[1,2,3,5],[2]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.089999,0.038662,0.002318,False
700056,3,5,"[3,3,3]","[3,1,3,3,1]","[[0,1,3,4],[0,1,2,3,4],[0,1,2]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.031076,0.052811,0.002831,False
700057,1,7,[2],"[1,1,1,3,1,2,3]","[[2,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.007235,0.017679,0.001027,False
700058,2,2,"[2,1]","[1,1]","[[0,1],[0,1]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.008634,0.032363,0.00165,False
700059,2,7,"[3,2]","[1,1,3,3,2,1,2]","[[1,3,6],[0,1,2,4,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.018466,0.032183,0.001988,False
700060,6,4,"[2,2,1,1,1,1]","[2,1,2,1]","[[1,2,3],[0,1,2,3],[3],[1,2],[3],[0,2]]",UNSAT,UNSAT,UNSAT,"[2, 4]",0.058877,0.058155,0.003785,False
700061,6,3,"[1,1,3,2,1,2]","[1,1,3]","[[2],[0,1],[0,1,2],[0,2],[1,2],[0,1]]",UNSAT,UNSAT,UNSAT,"[1, 2]",0.033013,0.057332,0.003651,False
700062,4,2,"[1,1,2,2]","[3,3]","[[0,1],[0],[0,1],[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.034337,0.03929,0.001891,False
700063,4,7,"[1,1,3,1]","[3,1,2,1,1,2,1]","[[6],[1,4],[1,2,3,4,5],[1,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.08895,0.051379,0.002692,False
700064,5,6,"[3,2,1,1,1]","[3,1,3,2,3,1]","[[0,1,3,4,5],[0,2,3],[2,5],[0,1,2,3,5],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.165029,0.051014,0.003454,False
700065,1,5,[2],"[3,3,2,3,2]","[[0,2,3,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.006151,0.098423,0.001126,False
700066,6,3,"[2,1,1,2,1,2]","[2,3,2]","[[0,2],[1],[2],[0,1],[0,1,2],[0,1,2]]",UNSAT,UNSAT,UNSAT,"[0, 2, 3, 5]",0.142886,0.058186,0.003452,False
700067,2,2,"[1,2]","[2,2]","[[1],[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.009264,0.020068,0.000961,False
700068,5,1,"[1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.010093,0.035662,0.001846,False
700069,1,4,[1],"[2,1,2,2]",[[2]],FEASIBLE,FEASIBLE,FEASIBLE,null,0.00492,0.012823,0.000721,False
700070,7,3,"[1,2,1,1,3,1,1]","[2,3,2]","[[0,1,2],[0,1,2],[0,1,2],[0,2],[0,1,2],[0,1],[1,2]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3, 4]",0.291285,0.068544,0.004574,False
700071,5,3,"[1,2,1,1,1]","[3,3,2]","[[2],[0,1],[2],[1],[0,1,2]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.105322,0.033223,0.001781,False
700072,2,2,"[2,1]","[3,2]","[[0,1],[1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.008459,0.018361,0.000991,False
700073,4,4,"[1,1,1,1]","[1,1,1,2]","[[1,3],[0],[1],[0]]",UNSAT,UNSAT,UNSAT,"[1, 3]",0.030098,0.043266,0.002488,False
700074,1,3,[1],"[3,1,1]",[[1]],FEASIBLE,FEASIBLE,FEASIBLE,null,0.00427,0.012031,0.000687,False
700075,2,1,"[1,1]",[2],"[[0],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.006393,0.0144,0.00071,False
700076,6,6,"[2,1,1,2,2,1]","[2,2,1,1,1,3]","[[2,3],[1,2,3,4,5],[0,1,3],[0,1,2,3],[0,2,3],[2]]",UNSAT,UNSAT,UNSAT,"[0, 4]",0.049451,0.11537,0.005073,False
700077,4,3,"[2,1,1,1]","[1,3,3]","[[0,1,2],[1,2],[0,1,2],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.043372,0.039995,0.002097,False
700078,3,6,"[3,1,1]","[2,1,2,2,2,1]","[[0,2,4,5],[5],[3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.035155,0.034343,0.001634,False
700079,3,6,"[1,2,1]","[3,1,3,1,2,2]","[[3,4,5],[2,5],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.119492,0.026411,0.001579,False
700080,5,7,"[1,3,1,2,1]","[3,1,3,3,1,1,1]","[[0,2,6],[0,1,2,3,4,5],[2],[1,3,4,5,6],[0,1,3,4,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.17811,0.047092,0.003203,False
700081,5,5,"[3,3,1,2,1]","[2,2,1,3,1]","[[0,1,2,3,4],[0,1,3,4],[1,3],[0,1,2],[0,4]]",UNSAT,UNSAT,UNSAT,"[0, 1, 3, 4]",0.132157,0.085635,0.006516,False
700082,1,7,[1],"[2,2,3,3,2,1,3]",[[6]],FEASIBLE,FEASIBLE,FEASIBLE,null,0.006771,0.014707,0.000864,False
700083,5,2,"[1,2,1,1,1]","[2,3]","[[0,1],[0,1],[1],[0,1],[1]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3, 4]",0.067537,0.04431,0.002643,False
700084,3,6,"[1,1,3]","[2,2,1,1,1,3]","[[0,1,3,5],[0,1,2,4,5],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.035014,0.035479,0.002538,False
700085,3,7,"[3,1,1]","[1,3,1,2,2,3,3]","[[0,1,2,4,5,6],[2,4],[1,3,5,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.039565,0.033154,0.002184,False
700086,1,5,[3],"[2,2,2,1,2]","[[1,2,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.005252,0.017434,0.001106,False
700087,7,4,"[3,2,1,3,1,2,1]","[3,3,3,3]","[[0,1,2,3],[1,2],[0,1],[0,1,2,3],[0,1,3],[0,1,2,3],[2]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3, 4, 5, 6]",0.471794,0.098019,0.006148,False
700088,1,4,[2],"[3,3,2,3]","[[2,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.005248,0.016352,0.000892,False
700089,3,7,"[2,1,1]","[2,2,2,2,2,1,2]","[[0,1,2,3,4,5,6],[1,3],[6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.038663,0.105605,0.001895,False
700090,1,2,[1],"[1,1]",[[0]],FEASIBLE,FEASIBLE,FEASIBLE,null,0.003822,0.010316,0.000624,False
700091,4,3,"[2,1,2,2]","[1,1,1]","[[0,1,2],[0],[0,1,2],[1,2]]",UNSAT,UNSAT,UNSAT,"[0, 2]",0.01715,0.041629,0.002731,False
700092,7,2,"[1,1,1,2,1,1,1]","[1,1]","[[0],[1],[0],[0,1],[0,1],[1],[0]]",UNSAT,UNSAT,UNSAT,"[0, 2]",0.018048,0.046527,0.00285,False
700093,2,7,"[1,1]","[3,2,2,3,2,2,1]","[[1,2,3,4,5],[2,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.017181,0.021414,0.001826,False
700094,6,3,"[2,1,1,1,3,1]","[1,3,2]","[[1,2],[0],[0,2],[0],[0,1,2],[0,1]]",UNSAT,UNSAT,UNSAT,"[1, 3]",0.033643,0.052082,0.004216,False
700095,4,4,"[1,3,2,1]","[1,1,1,2]","[[1,2],[0,1,2,3],[0,1,3],[0,2]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.052292,0.050212,0.003155,False
700096,6,6,"[1,1,2,1,1,1]","[1,1,2,2,2,2]","[[1],[2],[2,4],[1,3],[1,5],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.309687,0.04204,0.002547,False
700097,2,5,"[3,1]","[3,1,1,1,2]","[[0,1,4],[3,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.013706,0.023306,0.001408,False
700098,4,6,"[1,1,3,3]","[2,1,3,2,1,3]","[[1,3,4,5],[0,1,2,3,4,5],[0,1,2,3,5],[0,1,2,3,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.072383,0.046403,0.003224,False
700099,5,7,"[2,3,2,3,2]","[2,3,2,3,3,2,1]","[[1,2,3,4,5],[0,1,2,3,4,5],[0,1,4,5,6],[0,4,5,6],[0,1,4,5,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.171086,0.060982,0.003817,False
700100,2,1,"[1,1]",[3],"[[0],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.006328,0.101283,0.000739,False
700101,6,3,"[1,3,1,3,2,2]","[2,2,2]","[[0],[0,1,2],[0],[0,1,2],[1,2],[1,2]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.058225,0.055928,0.003208,False
700102,6,3,"[1,1,1,2,1,1]","[2,2,2]","[[0,1],[2],[0,2],[0,1,2],[2],[0,2]]",UNSAT,UNSAT,UNSAT,"[1, 2, 3, 4, 5]",0.171792,0.063293,0.003907,False
700103,6,2,"[1,1,1,1,1,1]","[1,2]","[[1],[1],[0,1],[0,1],[0,1],[1]]",UNSAT,UNSAT,UNSAT,"[0, 1, 5]",0.049039,0.043511,0.002802,False
700104,2,6,"[2,1]","[3,3,3,1,3,3]","[[0,1,2,3,4,5],[3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.015219,0.022899,0.001513,False
700105,3,2,"[1,1,1]","[1,3]","[[0],[0],[0,1]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.009392,0.026934,0.001733,False
700106,7,2,"[1,1,2,2,1,1,1]","[1,2]","[[0,1],[0,1],[0,1],[0,1],[0],[0,1],[0,1]]",UNSAT,UNSAT,UNSAT,"[2, 3]",0.035241,0.051239,0.003404,False
700107,4,1,"[1,1,1,1]",[3],"[[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3]",0.033943,0.032055,0.001669,False
700108,2,2,"[1,1]","[1,1]","[[0],[1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.007969,0.015106,0.000768,False
700109,3,5,"[1,2,1]","[2,3,1,2,1]","[[0,1,2,3,4],[0,1,2,3,4],[1,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.028551,0.027866,0.001931,False
700110,7,7,"[3,3,2,2,1,1,1]","[2,2,2,1,2,3,3]","[[0,1,2,3,4,5],[0,1,2,3,5,6],[1,2,3,4,5,6],[0,1,2,4,5,6],[0,1,2,3,4,5,6],[1,2,3,4,6],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.760512,0.108012,0.009616,False
700111,4,3,"[2,1,3,2]","[2,2,1]","[[1,2],[2],[0,1,2],[0,1,2]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.014053,0.123374,0.002874,False
700112,3,3,"[1,1,1]","[2,3,3]","[[1,2],[0,2],[2]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.020921,0.021277,0.00126,False
700113,7,4,"[2,1,2,1,1,1,1]","[1,3,3,3]","[[0,3],[0,1,3],[2,3],[0,1,2,3],[0,1,2,3],[2],[0,1,2]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.484734,0.050821,0.003166,False
700114,4,5,"[1,3,2,1]","[2,3,2,2,1]","[[0],[0,1,2,4],[0,1,4],[3,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.073204,0.036903,0.001963,False
700115,6,1,"[1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.029291,0.037083,0.0028,False
700116,1,5,[2],"[2,2,3,3,2]","[[0,1,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.005376,0.015837,0.001055,False
700117,1,3,[1],"[3,2,2]","[[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.003843,0.011309,0.000707,False
700118,7,3,"[2,1,1,3,1,2,1]","[2,1,3]","[[1,2],[0],[0,2],[0,1,2],[1],[1,2],[1,2]]",UNSAT,UNSAT,UNSAT,"[0, 3]",0.02493,0.054949,0.003568,False
700119,6,7,"[3,1,2,2,1,3]","[2,3,3,1,2,3,2]","[[0,1,2,3,4,5,6],[6],[5,6],[2,6],[1,2,5,6],[0,1,2,3,4,5,6]]",UNSAT,UNSAT,UNSAT,"[1, 2, 3]",0.160212,0.063325,0.004654,False
700120,7,3,"[1,1,1,1,1,1,1]","[1,1,1]","[[1],[2],[0,1,2],[0,1],[0,2],[0,1,2],[0,1,2]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3]",0.167357,0.052991,0.003834,False
700121,3,5,"[1,1,2]","[3,2,2,2,1]","[[1,2,3],[3],[0,1,3,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.028647,0.025677,0.001771,False
700122,3,7,"[2,2,1]","[3,2,3,3,3,3,1]","[[0,1,3,5,6],[0,3,4],[1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.036185,0.105392,0.001895,False
700123,3,1,"[1,1,1]",[2],"[[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.010942,0.024997,0.001465,False
700124,3,6,"[2,1,3]","[2,2,3,3,2,2]","[[0,1,2,3,4,5],[4],[2,3,4,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.031933,0.030846,0.002076,False
700125,2,6,"[3,2]","[3,2,1,2,2,1]","[[1,2,3,5],[2,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.014476,0.032414,0.002006,False
700126,6,7,"[2,1,1,1,1,2]","[2,2,3,1,2,1,2]","[[0,1,2,3,5],[0,1],[3],[4],[1,2,5,6],[3,4]]",UNSAT,UNSAT,UNSAT,"[2, 5]",0.0861,0.048921,0.003881,False
700127,6,2,"[2,1,1,1,1,1]","[3,3]","[[0,1],[0],[0,1],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 3, 4]",0.086781,0.054539,0.003551,False
700128,2,5,"[2,1]","[2,1,1,1,1]","[[1,2],[0,2]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.012587,0.019384,0.001225,False
700129,7,5,"[2,1,1,1,1,3,2]","[1,3,3,1,1]","[[0,1,2,3,4],[3],[0,1,2,3,4],[2],[2],[0,2,3,4],[0,4]]",UNSAT,UNSAT,UNSAT,"[5, 6]",0.111924,0.066518,0.005114,False
700130,6,5,"[2,2,3,1,1,1]","[1,2,2,2,3]","[[1,2,3,4],[0,3],[0,1,2,3,4],[3],[0],[0,3]]",UNSAT,UNSAT,UNSAT,"[1, 4]",0.051877,0.075974,0.004474,False
700131,1,2,[1],"[3,2]",[[0]],FEASIBLE,FEASIBLE,FEASIBLE,null,0.003609,0.01067,0.000615,False
700132,6,4,"[1,3,1,3,3,1]","[2,1,1,3]","[[2],[0,1,2,3],[0,2],[0,1,2,3],[0,1,3],[1]]",UNSAT,UNSAT,UNSAT,"[4, 5]",0.063909,0.057403,0.004024,False
700133,5,4,"[1,3,1,2,3]","[2,2,2,2]","[[1,2,3],[0,1,2,3],[1,3],[0,1,2,3],[0,1,2,3]]",UNSAT,UNSAT,UNSAT,"[0, 1, 3, 4]",0.090898,0.201045,0.004337,False
700134,4,1,"[1,1,1,1]",[1],"[[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.008058,0.027299,0.001515,False
700135,1,4,[3],"[1,2,3,2]","[[0,1,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.004716,0.016405,0.001786,False
700136,2,6,"[2,1]","[1,1,3,3,1,1]","[[0,1,3,4],[1,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.014096,0.021738,0.001654,False
700137,3,6,"[1,3,1]","[2,3,2,3,2,3]","[[0,1,3,4],[0,1,2,3,4,5],[2]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.030873,0.027927,0.002148,False
700138,6,1,"[1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.009913,0.033487,0.002333,False
700139,7,4,"[1,3,1,1,2,2,1]","[1,1,2,3]","[[3],[0,1,2,3],[0,1,2,3],[0],[1,3],[0,1],[0,2]]",UNSAT,UNSAT,UNSAT,"[1, 5]",0.050347,0.081847,0.005584,False
700140,3,6,"[1,2,1]","[1,3,3,1,1,1]","[[3,4],[0,1,3,4,5],[4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.031244,0.025482,0.00173,False
