seed,boxes,resources,demands,capacities,reachable,exhaustive_result,python_flow_result,native_flow_result,exhaustive_subset,exhaustive_ms,python_flow_ms,native_flow_ms,mismatch
700019,2,2,"[1,1]","[3,2]","[[0],[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.010768,0.021006,0.000968,False
700020,6,5,"[1,1,2,1,2,1]","[3,1,3,3,1]","[[0,1,2,4],[0,4],[1,2,3,4],[0],[0,4],[3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.357269,0.177575,0.003998,False
700021,5,6,"[1,1,1,3,3]","[2,2,1,2,3,2]","[[0,1,2,3,4,5],[1,4,5],[0,3,5],[0,3,5],[0,3,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.223924,0.081422,0.004361,False
700022,7,6,"[2,1,1,2,1,1,1]","[3,2,3,2,2,1]","[[1,2],[0,1,2,3,5],[0,2],[0,1,2,3,4,5],[3],[1,4],[3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.862144,0.070163,0.003609,False
700023,2,6,"[1,3]","[3,3,2,3,1,3]","[[0,3],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.020071,0.031301,0.001701,False
700024,7,1,"[1,1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.014229,0.05055,0.002402,False
700025,1,6,[1],"[3,3,2,1,2,3]","[[1,3,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.007799,0.018725,0.001122,False
700026,7,3,"[2,2,2,1,1,1,2]","[3,3,2]","[[0,1],[0,1,2],[0,1,2],[2],[0,1,2],[1],[1,2]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3, 6]",0.376136,0.112374,0.00475,False
700027,5,2,"[1,2,1,1,2]","[3,3]","[[0,1],[0,1],[0,1],[0,1],[0,1]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3, 4]",0.086175,0.059831,0.003349,False
700028,6,7,"[3,1,2,1,1,2]","[3,2,1,1,3,2,2]","[[1,2,3,5],[0,1,2,4,5,6],[0,2,3,4,5,6],[6],[0,1,2,3,4,5,6],[1,2,3,4,5,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.533165,0.085047,0.00508,False
700029,3,5,"[1,1,1]","[3,3,1,1,1]","[[1,2],[3],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.037853,0.03088,0.001373,False
700030,7,3,"[2,1,1,2,2,1,1]","[3,1,2]","[[0,1,2],[2],[0,1,2],[0,2],[0,1,2],[1],[0,1,2]]",UNSAT,UNSAT,UNSAT,"[0, 1, 3, 4]",0.373226,0.081897,0.004426,False
700031,3,3,"[1,1,2]","[3,2,3]","[[1],[0,1,2],[0,1,2]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.028734,0.030598,0.001606,False
700032,6,3,"[2,1,2,1,1,3]","[3,2,1]","[[0,1],[2],[0,2],[0,1,2],[1],[0,1,2]]",UNSAT,UNSAT,UNSAT,"[1, 2]",0.041249,0.06867,0.003944,False
700033,5,1,"[1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.028735,0.066825,0.001971,False
700034,6,5,"[1,1,3,1,1,1]","[3,3,3,1,2]","[[0],[0,1,3,4],[0,1,3,4],[3],[0,1,2,3,4],[0,1,2,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.360679,0.082802,0.004037,False
700035,4,2,"[1,1,1,1]","[1,3]","[[0,1],[1],[0],[1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.047448,0.041613,0.001972,False
700036,1,4,[2],"[3,1,2,1]","[[2,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.006403,0.019998,0.000995,False
700037,4,3,"[1,3,1,2]","[3,3,2]","[[0],[0,1,2],[0],[0,1]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3]",0.054481,0.06294,0.002665,False
700038,3,7,"[2,2,1]","[2,3,1,1,1,2,2]","[[0,1,2,3,4,5,6],[1,4,5],[0,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.050017,0.045812,0.002379,False
700039,6,7,"[1,2,1,2,2,1]","[3,1,1,1,2,3,3]","[[1,2,6],[0,1,2,4,5,6],[2],[0,2,4],[1,2,3,4],[6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.496973,0.088114,0.004495,False
700040,5,3,"[1,2,3,2,1]","[3,2,3]","[[0,2],[1,2],[0,1,2],[0,2],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3, 4]",0.121235,0.06496,0.003225,False
700041,1,6,[2],"[1,3,2,1,3,2]","[[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.010453,0.141929,0.001318,False
700042,2,1,"[1,1]",[2],"[[0],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.009097,0.018712,0.000805,False
700043,4,2,"[2,1,1,1]","[2,2]","[[0,1],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.029441,0.044137,0.002129,False
700044,5,1,"[1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.028937,0.042436,0.001773,False
700045,4,1,"[1,1,1,1]",[2],"[[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.020263,0.03851,0.001566,False
700046,3,7,"[3,1,2]","[3,3,1,2,2,1,1]","[[1,2,4,5,6],[1,3],[0,2,3,4,5,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.052939,0.046258,0.002503,False
700047,5,2,"[1,1,1,1,1]","[2,2]","[[0,1],[1],[1],[0],[1]]",UNSAT,UNSAT,UNSAT,"[1, 2, 4]",0.061778,0.044752,0.002264,False
700048,7,1,"[1,1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3]",0.108422,0.054311,0.002293,False
700049,3,2,"[2,2,1]","[1,1]","[[0,1],[0,1],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.012307,0.041426,0.002027,False
700050,2,2,"[1,1]","[1,2]","[[1],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.010727,0.020478,0.000927,False
700051,3,1,"[1,1,1]",[3],"[[0],[0],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.014677,0.024859,0.000963,False
700052,5,6,"[2,3,3,3,3]","[2,3,2,2,1,3]","[[0,1,2,3,4,5],[1,2,3,4,5],[1,2,3,4,5],[0,2,3,5],[0,1,2,3,4,5]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3, 4]",0.209825,0.145129,0.008103,False
700053,3,7,"[1,1,2]","[3,3,3,2,2,3,2]","[[1,2,5],[0,4,5],[1,2,3,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.051811,0.037044,0.00197,False
700054,3,3,"[3,1,2]","[3,1,1]","[[0,1,2],[0],[0,2]]",UNSAT,UNSAT,UNSAT,"[0, 2]",0.040472,0.15157,0.00228,False
700055,4,7,"[2,1,2,1]","[2,2,2,3,1,3,3]","[[0,1,2,3,4,5,6],[3],[1,2,3,5],[2]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.108263,0.044925,0.002438,False
700056,3,5,"[3,3,3]","[3,1,3,3,1]","[[0,1,3,4],[0,1,2,3,4],[0,1,2]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.038377,0.066988,0.003014,False
700057,1,7,[2],"[1,1,1,3,1,2,3]","[[2,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.009094,0.022022,0.001071,False
700058,2,2,"[2,1]","[1,1]","[[0,1],[0,1]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.011113,0.043798,0.001766,False
700059,2,7,"[3,2]","[1,1,3,3,2,1,2]","[[1,3,6],[0,1,2,4,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.022585,0.038109,0.002045,False
700060,6,4,"[2,2,1,1,1,1]","[2,1,2,1]","[[1,2,3],[0,1,2,3],[3],[1,2],[3],[0,2]]",UNSAT,UNSAT,UNSAT,"[2, 4]",0.078157,0.070526,0.003875,False
700061,6,3,"[1,1,3,2,1,2]","[1,1,3]","[[2],[0,1],[0,1,2],[0,2],[1,2],[0,1]]",UNSAT,UNSAT,UNSAT,"[1, 2]",0.048854,0.074349,0.003864,False
700062,4,2,"[1,1,2,2]","[3,3]","[[0,1],[0],[0,1],[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.043687,0.049779,0.002036,False
700063,4,7,"[1,1,3,1]","[3,1,2,1,1,2,1]","[[6],[1,4],[1,2,3,4,5],[1,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.115288,0.063013,0.002853,False
700064,5,6,"[3,2,1,1,1]","[3,1,3,2,3,1]","[[0,1,3,4,5],[0,2,3],[2,5],[0,1,2,3,5],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.21852,0.064097,0.003616,False
700065,1,5,[2],"[3,3,2,3,2]","[[0,2,3,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.007827,0.160737,0.001208,False
700066,6,3,"[2,1,1,2,1,2]","[2,3,2]","[[0,2],[1],[2],[0,1],[0,1,2],[0,1,2]]",UNSAT,UNSAT,UNSAT,"[0, 2, 3, 5]",0.195957,0.080339,0.003599,False
700067,2,2,"[1,2]","[2,2]","[[1],[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.012053,0.031133,0.000985,False
700068,5,1,"[1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.012664,0.043129,0.00196,False
700069,1,4,[1],"[2,1,2,2]",[[2]],FEASIBLE,FEASIBLE,FEASIBLE,null,0.010133,0.02041,0.000731,False
700070,7,3,"[1,2,1,1,3,1,1]","[2,3,2]","[[0,1,2],[0,1,2],[0,1,2],[0,2],[0,1,2],[0,1],[1,2]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3, 4]",0.384179,0.101441,0.004705,False
700071,5,3,"[1,2,1,1,1]","[3,3,2]","[[2],[0,1],[2],[1],[0,1,2]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.115612,0.041087,0.001883,False
700072,2,2,"[2,1]","[3,2]","[[0,1],[1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.010523,0.022301,0.001053,False
700073,4,4,"[1,1,1,1]","[1,1,1,2]","[[1,3],[0],[1],[0]]",UNSAT,UNSAT,UNSAT,"[1, 3]",0.038811,0.053005,0.002616,False
700074,1,3,[1],"[3,1,1]",[[1]],FEASIBLE,FEASIBLE,FEASIBLE,null,0.005659,0.0149,0.000745,False
700075,2,1,"[1,1]",[2],"[[0],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.008456,0.019386,0.000746,False
700076,6,6,"[2,1,1,2,2,1]","[2,2,1,1,1,3]","[[2,3],[1,2,3,4,5],[0,1,3],[0,1,2,3],[0,2,3],[2]]",UNSAT,UNSAT,UNSAT,"[0, 4]",0.060314,0.127895,0.005243,False
700077,4,3,"[2,1,1,1]","[1,3,3]","[[0,1,2],[1,2],[0,1,2],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.052235,0.043892,0.002203,False
700078,3,6,"[3,1,1]","[2,1,2,2,2,1]","[[0,2,4,5],[5],[3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.037268,0.051873,0.001744,False
700079,3,6,"[1,2,1]","[3,1,3,1,2,2]","[[3,4,5],[2,5],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.137185,0.059531,0.001674,False
700080,5,7,"[1,3,1,2,1]","[3,1,3,3,1,1,1]","[[0,2,6],[0,1,2,3,4,5],[2],[1,3,4,5,6],[0,1,3,4,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.191828,0.052171,0.003368,False
700081,5,5,"[3,3,1,2,1]","[2,2,1,3,1]","[[0,1,2,3,4],[0,1,3,4],[1,3],[0,1,2],[0,4]]",UNSAT,UNSAT,UNSAT,"[0, 1, 3, 4]",0.129101,0.092357,0.005633,False
700082,1,7,[1],"[2,2,3,3,2,1,3]",[[6]],FEASIBLE,FEASIBLE,FEASIBLE,null,0.007201,0.015755,0.000933,False
700083,5,2,"[1,2,1,1,1]","[2,3]","[[0,1],[0,1],[1],[0,1],[1]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3, 4]",0.071467,0.047566,0.002785,False
700084,3,6,"[1,1,3]","[2,2,1,1,1,3]","[[0,1,3,5],[0,1,2,4,5],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.037323,0.037967,0.00266,False
700085,3,7,"[3,1,1]","[1,3,1,2,2,3,3]","[[0,1,2,4,5,6],[2,4],[1,3,5,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.042702,0.036496,0.002294,False
700086,1,5,[3],"[2,2,2,1,2]","[[1,2,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.005831,0.020246,0.001219,False
700087,7,4,"[3,2,1,3,1,2,1]","[3,3,3,3]","[[0,1,2,3],[1,2],[0,1],[0,1,2,3],[0,1,3],[0,1,2,3],[2]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3, 4, 5, 6]",0.534207,0.109537,0.006207,False
700088,1,4,[2],"[3,3,2,3]","[[2,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.005753,0.019628,0.00091,False
700089,3,7,"[2,1,1]","[2,2,2,2,2,1,2]","[[0,1,2,3,4,5,6],[1,3],[6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.042591,0.119444,0.002072,False
700090,1,2,[1],"[1,1]",[[0]],FEASIBLE,FEASIBLE,FEASIBLE,null,0.004257,0.011485,0.000672,False
700091,4,3,"[2,1,2,2]","[1,1,1]","[[0,1,2],[0],[0,1,2],[1,2]]",UNSAT,UNSAT,UNSAT,"[0, 2]",0.018664,0.047252,0.002798,False
700092,7,2,"[1,1,1,2,1,1,1]","[1,1]","[[0],[1],[0],[0,1],[0,1],[1],[0]]",UNSAT,UNSAT,UNSAT,"[0, 2]",0.020274,0.051853,0.003064,False
700093,2,7,"[1,1]","[3,2,2,3,2,2,1]","[[1,2,3,4,5],[2,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.019209,0.024189,0.001518,False
700094,6,3,"[2,1,1,1,3,1]","[1,3,2]","[[1,2],[0],[0,2],[0],[0,1,2],[0,1]]",UNSAT,UNSAT,UNSAT,"[1, 3]",0.03782,0.061434,0.003402,False
700095,4,4,"[1,3,2,1]","[1,1,1,2]","[[1,2],[0,1,2,3],[0,1,3],[0,2]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.041698,0.053531,0.003277,False
700096,6,6,"[1,1,2,1,1,1]","[1,1,2,2,2,2]","[[1],[2],[2,4],[1,3],[1,5],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.368078,0.049845,0.002681,False
700097,2,5,"[3,1]","[3,1,1,1,2]","[[0,1,4],[3,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.016364,0.02791,0.00149,False
700098,4,6,"[1,1,3,3]","[2,1,3,2,1,3]","[[1,3,4,5],[0,1,2,3,4,5],[0,1,2,3,5],[0,1,2,3,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.087431,0.055383,0.003354,False
700099,5,7,"[2,3,2,3,2]","[2,3,2,3,3,2,1]","[[1,2,3,4,5],[0,1,2,3,4,5],[0,1,4,5,6],[0,4,5,6],[0,1,4,5,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.205752,0.078608,0.004042,False
700100,2,1,"[1,1]",[3],"[[0],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.007454,0.117298,0.000719,False
700101,6,3,"[1,3,1,3,2,2]","[2,2,2]","[[0],[0,1,2],[0],[0,1,2],[1,2],[1,2]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.067796,0.066236,0.003428,False
700102,6,3,"[1,1,1,2,1,1]","[2,2,2]","[[0,1],[2],[0,2],[0,1,2],[2],[0,2]]",UNSAT,UNSAT,UNSAT,"[1, 2, 3, 4, 5]",0.207054,0.076024,0.004095,False
700103,6,2,"[1,1,1,1,1,1]","[1,2]","[[1],[1],[0,1],[0,1],[0,1],[1]]",UNSAT,UNSAT,UNSAT,"[0, 1, 5]",0.05925,0.052981,0.00293,False
700104,2,6,"[2,1]","[3,3,3,1,3,3]","[[0,1,2,3,4,5],[3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.018079,0.02792,0.001575,False
700105,3,2,"[1,1,1]","[1,3]","[[0],[0],[0,1]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.011146,0.033071,0.001833,False
700106,7,2,"[1,1,2,2,1,1,1]","[1,2]","[[0,1],[0,1],[0,1],[0,1],[0],[0,1],[0,1]]",UNSAT,UNSAT,UNSAT,"[2, 3]",0.043106,0.06209,0.003523,False
700107,4,1,"[1,1,1,1]",[3],"[[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3]",0.026307,0.036832,0.001737,False
700108,2,2,"[1,1]","[1,1]","[[0],[1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.009648,0.018044,0.000814,False
700109,3,5,"[1,2,1]","[2,3,1,2,1]","[[0,1,2,3,4],[0,1,2,3,4],[1,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.035495,0.033772,0.002033,False
700110,7,7,"[3,3,2,2,1,1,1]","[2,2,2,1,2,3,3]","[[0,1,2,3,4,5],[0,1,2,3,5,6],[1,2,3,4,5,6],[0,1,2,4,5,6],[0,1,2,3,4,5,6],[1,2,3,4,6],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.939608,0.13255,0.008413,False
700111,4,3,"[2,1,3,2]","[2,2,1]","[[1,2],[2],[0,1,2],[0,1,2]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.016986,0.147757,0.002951,False
700112,3,3,"[1,1,1]","[2,3,3]","[[1,2],[0,2],[2]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.024589,0.025203,0.001309,False
700113,7,4,"[2,1,2,1,1,1,1]","[1,3,3,3]","[[0,3],[0,1,3],[2,3],[0,1,2,3],[0,1,2,3],[2],[0,1,2]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.549073,0.061209,0.003209,False
700114,4,5,"[1,3,2,1]","[2,3,2,2,1]","[[0],[0,1,2,4],[0,1,4],[3,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.074558,0.057112,0.002009,False
700115,6,1,"[1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.035293,0.045062,0.002142,False
700116,1,5,[2],"[2,2,3,3,2]","[[0,1,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.006302,0.019989,0.000961,False
700117,1,3,[1],"[3,2,2]","[[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.004606,0.01413,0.000714,False
700118,7,3,"[2,1,1,3,1,2,1]","[2,1,3]","[[1,2],[0],[0,2],[0,1,2],[1],[1,2],[1,2]]",UNSAT,UNSAT,UNSAT,"[0, 3]",0.030899,0.069199,0.003638,False
700119,6,7,"[3,1,2,2,1,3]","[2,3,3,1,2,3,2]","[[0,1,2,3,4,5,6],[6],[5,6],[2,6],[1,2,5,6],[0,1,2,3,4,5,6]]",UNSAT,UNSAT,UNSAT,"[1, 2, 3]",0.202388,0.079578,0.004599,False
700120,7,3,"[1,1,1,1,1,1,1]","[1,1,1]","[[1],[2],[0,1,2],[0,1],[0,2],[0,1,2],[0,1,2]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2, 3]",0.204924,0.067405,0.003732,False
700121,3,5,"[1,1,2]","[3,2,2,2,1]","[[1,2,3],[3],[0,1,3,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.034741,0.032246,0.001809,False
700122,3,7,"[2,2,1]","[3,2,3,3,3,3,1]","[[0,1,3,5,6],[0,3,4],[1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.044015,0.136176,0.00187,False
700123,3,1,"[1,1,1]",[2],"[[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.013445,0.031734,0.001531,False
700124,3,6,"[2,1,3]","[2,2,3,3,2,2]","[[0,1,2,3,4,5],[4],[2,3,4,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.039678,0.038664,0.002167,False
700125,2,6,"[3,2]","[3,2,1,2,2,1]","[[1,2,3,5],[2,4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.01797,0.041938,0.00203,False
700126,6,7,"[2,1,1,1,1,2]","[2,2,3,1,2,1,2]","[[0,1,2,3,5],[0,1],[3],[4],[1,2,5,6],[3,4]]",UNSAT,UNSAT,UNSAT,"[2, 5]",0.107961,0.062027,0.003889,False
700127,6,2,"[2,1,1,1,1,1]","[3,3]","[[0,1],[0],[0,1],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 3, 4]",0.109473,0.070096,0.003305,False
700128,2,5,"[2,1]","[2,1,1,1,1]","[[1,2],[0,2]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.016053,0.024492,0.001253,False
700129,7,5,"[2,1,1,1,1,3,2]","[1,3,3,1,1]","[[0,1,2,3,4],[3],[0,1,2,3,4],[2],[2],[0,2,3,4],[0,4]]",UNSAT,UNSAT,UNSAT,"[5, 6]",0.169562,0.107677,0.005044,False
700130,6,5,"[2,2,3,1,1,1]","[1,2,2,2,3]","[[1,2,3,4],[0,3],[0,1,2,3,4],[3],[0],[0,3]]",UNSAT,UNSAT,UNSAT,"[1, 4]",0.065211,0.097267,0.004539,False
700131,1,2,[1],"[3,2]",[[0]],FEASIBLE,FEASIBLE,FEASIBLE,null,0.004465,0.016146,0.000627,False
700132,6,4,"[1,3,1,3,3,1]","[2,1,1,3]","[[2],[0,1,2,3],[0,2],[0,1,2,3],[0,1,3],[1]]",UNSAT,UNSAT,UNSAT,"[4, 5]",0.078344,0.0727,0.004047,False
700133,5,4,"[1,3,1,2,3]","[2,2,2,2]","[[1,2,3],[0,1,2,3],[1,3],[0,1,2,3],[0,1,2,3]]",UNSAT,UNSAT,UNSAT,"[0, 1, 3, 4]",0.11308,0.27012,0.004365,False
700134,4,1,"[1,1,1,1]",[1],"[[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.01032,0.034512,0.001586,False
700135,1,4,[3],"[1,2,3,2]","[[0,1,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.006003,0.020975,0.000971,False
700136,2,6,"[2,1]","[1,1,3,3,1,1]","[[0,1,3,4],[1,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.018149,0.028566,0.001423,False
700137,3,6,"[1,3,1]","[2,3,2,3,2,3]","[[0,1,3,4],[0,1,2,3,4,5],[2]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.039513,0.036206,0.002046,False
700138,6,1,"[1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.012483,0.043306,0.002108,False
700139,7,4,"[1,3,1,1,2,2,1]","[1,1,2,3]","[[3],[0,1,2,3],[0,1,2,3],[0],[1,3],[0,1],[0,2]]",UNSAT,UNSAT,UNSAT,"[1, 5]",0.065122,0.10657,0.005449,False
700140,3,6,"[1,2,1]","[1,3,3,1,1,1]","[[3,4],[0,1,3,4,5],[4]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.039877,0.032607,0.001713,False
