seed,boxes,resources,demands,capacities,reachable,exhaustive_result,flow_result,exhaustive_subset,exhaustive_ms,flow_ms,mismatch
500021,6,5,"[2,1,1,3,1,2]","[3,3,3,2,1]","[[0,1,4],[1],[0,2,3,4],[0,1,2],[0,1,2,4],[0,1,3]]",FEASIBLE,FEASIBLE,null,0.311108000,0.071731000,False
500022,6,1,"[1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.012138000,0.042912000,False
500023,1,2,[1],"[3,2]",[[0]],FEASIBLE,FEASIBLE,null,0.004252000,0.013275000,False
500024,7,3,"[2,3,2,2,1,1,1]","[1,2,2]","[[1,2],[0,1,2],[1,2],[0,1],[0],[2],[0]]",UNSAT,UNSAT,"[1,3]",0.044557000,0.065100000,False
500025,4,3,"[1,2,1,1]","[3,3,2]","[[0,2],[1,2],[1],[2]]",FEASIBLE,FEASIBLE,null,0.047966000,0.031670000,False
500026,1,2,[1],"[2,1]",[[1]],FEASIBLE,FEASIBLE,null,0.004165000,0.013011000,False
500027,1,1,[1],[1],[[0]],FEASIBLE,FEASIBLE,null,0.003164000,0.011890000,False
500028,1,6,[1],"[1,3,2,1,2,2]",[[3]],FEASIBLE,FEASIBLE,null,0.006621000,0.015466000,False
500029,5,4,"[1,1,1,2,3]","[2,2,2,3]","[[1,2],[0,1,2,3],[1],[0,1,2,3],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.124153000,0.169263000,False
500030,4,3,"[2,1,1,1]","[1,2,1]","[[0,1,2],[0],[2],[0]]",UNSAT,UNSAT,"[1,3]",0.030088000,0.044230000,False
500031,1,5,[1],"[3,3,1,3,3]",[[2]],FEASIBLE,FEASIBLE,null,0.006196000,0.015008000,False
500032,7,2,"[1,1,1,2,1,1,1]","[1,1]","[[1],[1],[0],[0,1],[0,1],[1],[0,1]]",UNSAT,UNSAT,"[0,1]",0.019237000,0.055721000,False
500033,5,6,"[1,1,2,1,1]","[2,2,3,3,2,2]","[[5],[0,1,2,3,4,5],[0,1,2],[0,1,2,3,4,5],[0,2,3,4]]",FEASIBLE,FEASIBLE,null,0.199698000,0.052515000,False
500034,6,1,"[1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.015108000,0.044787000,False
500035,3,5,"[1,2,2]","[2,3,1,3,3]","[[0,1,2,3,4],[1,2,4],[0,2]]",FEASIBLE,FEASIBLE,null,0.033662000,0.045971000,False
500036,6,2,"[1,2,1,1,2,1]","[1,1]","[[1],[0,1],[0,1],[0,1],[0,1],[0]]",UNSAT,UNSAT,"[0,1]",0.017187000,0.054618000,False
500037,2,6,"[1,1]","[2,3,1,3,3,3]","[[1,2,4],[4]]",FEASIBLE,FEASIBLE,null,0.017588000,0.021746000,False
500038,1,6,[3],"[1,3,1,3,1,1]","[[0,1,2,3,5]]",FEASIBLE,FEASIBLE,null,0.006725000,0.023657000,False
500039,5,5,"[2,1,2,2,1]","[2,1,3,1,1]","[[0,2,4],[0,1,2,3],[2,3,4],[0,1,4],[4]]",FEASIBLE,FEASIBLE,null,0.146387000,0.066420000,False
500040,6,2,"[2,1,1,1,1,1]","[3,1]","[[0,1],[0,1],[0],[0],[0,1],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.092970000,0.052484000,False
500041,3,1,"[1,1,1]",[2],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.012698000,0.030652000,False
500042,4,5,"[3,1,2,1]","[1,3,2,2,2]","[[0,1,3,4],[3,4],[0,2],[0]]",UNSAT,UNSAT,"[2,3]",0.043672000,0.061542000,False
500043,3,7,"[2,1,1]","[3,2,1,2,1,2,2]","[[0,1,3,4,5],[1],[0,1,5]]",FEASIBLE,FEASIBLE,null,0.042237000,0.180423000,False
500044,1,2,[1],"[1,3]",[[1]],FEASIBLE,FEASIBLE,null,0.004474000,0.012892000,False
500045,6,1,"[1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.033119000,0.043646000,False
500046,3,3,"[1,2,1]","[3,3,2]","[[0],[0,1],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.036742000,0.028041000,False
500047,6,2,"[1,1,2,2,2,1]","[2,2]","[[1],[1],[0,1],[0,1],[0,1],[1]]",UNSAT,UNSAT,"[0,1,2]",0.048338000,0.052949000,False
500048,3,1,"[1,1,1]",[3],"[[0],[0],[0]]",FEASIBLE,FEASIBLE,null,0.012695000,0.020784000,False
500049,5,5,"[1,2,3,1,1]","[1,3,1,3,2]","[[0,1,4],[1,2,3,4],[0,1,2,3],[3],[0,1,2,4]]",FEASIBLE,FEASIBLE,null,0.144395000,0.065400000,False
500050,7,1,"[1,1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.013119000,0.046201000,False
500051,6,3,"[1,2,2,2,1,1]","[3,2,1]","[[1],[0,1,2],[0,1,2],[0,1,2],[1],[0,2]]",UNSAT,UNSAT,"[0,1,2,3]",0.124674000,0.066546000,False
500052,1,1,[1],[3],[[0]],FEASIBLE,FEASIBLE,null,0.003356000,0.012305000,False
500053,6,7,"[2,1,2,1,3,1]","[2,1,1,2,1,2,1]","[[0,6],[0,1,2,3,4,5,6],[3,4],[3,4],[0,2,3,5,6],[3,4,5]]",FEASIBLE,FEASIBLE,null,0.406905000,0.076368000,False
500054,1,2,[1],"[3,1]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.004016000,0.014016000,False
500055,2,4,"[1,1]","[2,3,3,2]","[[2],[1,2,3]]",FEASIBLE,FEASIBLE,null,0.016724000,0.025024000,False
500056,6,6,"[1,2,1,2,1,1]","[3,1,2,3,1,3]","[[0,2,3],[0,1,2,5],[5],[0,1,5],[1],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.511896000,0.112323000,False
500057,3,3,"[2,1,1]","[3,1,1]","[[1,2],[0,1],[2]]",UNSAT,UNSAT,"[0,2]",0.023322000,0.276075000,False
500058,5,1,"[1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.053378000,0.051027000,False
500059,3,2,"[1,1,1]","[2,3]","[[1],[1],[0]]",FEASIBLE,FEASIBLE,null,0.024252000,0.026797000,False
500060,6,1,"[1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.082725000,0.054761000,False
500061,1,7,[3],"[2,2,3,1,3,2,3]","[[2,4,6]]",FEASIBLE,FEASIBLE,null,0.010009000,0.028377000,False
500062,6,4,"[3,2,1,3,2,1]","[1,2,3,1]","[[0,1,2,3],[0,1,2,3],[1,3],[0,1,2],[1,2,3],[2,3]]",UNSAT,UNSAT,"[0,1,3]",0.111591000,0.111695000,False
500063,4,1,"[1,1,1,1]",[3],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.033606000,0.045585000,False
500064,2,1,"[1,1]",[3],"[[0],[0]]",FEASIBLE,FEASIBLE,null,0.009433000,0.021799000,False
500065,4,5,"[1,3,1,1]","[3,1,2,2,2]","[[4],[1,3,4],[0,1,2,3,4],[2]]",FEASIBLE,FEASIBLE,null,0.096116000,0.049263000,False
500066,1,1,[1],[3],[[0]],FEASIBLE,FEASIBLE,null,0.004736000,0.015150000,False
500067,7,1,"[1,1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.061108000,0.059044000,False
500068,6,4,"[3,1,1,2,3,1]","[1,3,3,2]","[[0,1,3],[0,1,2,3],[2],[0,1,2,3],[0,1,2,3],[0,1]]",UNSAT,UNSAT,"[0,3,4,5]",0.200849000,0.084182000,False
500069,6,6,"[2,1,3,2,3,1]","[1,2,3,3,2,3]","[[2,3,4,5],[0,1,4,5],[0,1,2,4,5],[0,1,2,3,4,5],[0,1,2,4],[1,2,3,5]]",FEASIBLE,FEASIBLE,null,0.368512000,0.097005000,False
500070,7,5,"[3,1,1,1,2,1,2]","[1,1,3,1,1]","[[0,1,2,3,4],[0,1,2,3,4],[1,2,3,4],[0,2,4],[0,1,2,3,4],[3],[1,2,3,4]]",UNSAT,UNSAT,"[0,1,4,6]",0.363626000,0.099421000,False
500071,7,1,"[1,1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.143114000,0.047778000,False
500072,1,2,[1],"[1,1]",[[1]],FEASIBLE,FEASIBLE,null,0.004125000,0.013318000,False
500073,3,3,"[1,2,1]","[3,3,1]","[[0,1],[0,1,2],[2]]",FEASIBLE,FEASIBLE,null,0.023449000,0.027869000,False
500074,1,7,[3],"[1,2,2,1,2,2,2]","[[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.007676000,0.024592000,False
500075,4,4,"[1,1,3,1]","[3,1,2,1]","[[1,2],[3],[0,1,2,3],[2]]",UNSAT,UNSAT,"[0,1,2,3]",0.059971000,0.050927000,False
500076,1,2,[2],"[3,3]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.004097000,0.016886000,False
500077,6,7,"[1,2,1,3,1,1]","[1,3,1,1,3,2,1]","[[2,3,4],[0,1,2,4,5],[6],[0,1,3,4,5],[6],[0,1,4,5,6]]",UNSAT,UNSAT,"[2,4]",0.099755000,0.068343000,False
500078,6,2,"[2,1,2,1,1,2]","[1,1]","[[0,1],[0],[0,1],[1],[1],[0,1]]",UNSAT,UNSAT,"[0,1]",0.016602000,0.051774000,False
500079,7,2,"[2,1,2,1,1,1,1]","[1,2]","[[0,1],[1],[0,1],[0],[1],[0,1],[0]]",UNSAT,UNSAT,"[0,2]",0.021006000,0.056346000,False
500080,7,7,"[2,3,3,1,3,3,3]","[2,2,2,1,3,3,2]","[[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,3,6],[0,1,2,3,5,6],[0,1,4,5],[0,1,2,3,5,6],[0,1,2,3,4,5]]",UNSAT,UNSAT,"[0,1,2,4,5,6]",0.852928000,0.179564000,False
500081,6,6,"[2,1,2,1,2,3]","[2,3,2,1,2,3]","[[1,3,4,5],[0,1,5],[1,2,4],[3],[0,1,2,3,5],[1,2,5]]",FEASIBLE,FEASIBLE,null,0.369602000,0.098845000,False
500082,6,1,"[1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.065304000,0.045704000,False
500083,6,4,"[1,1,1,2,1,2]","[2,2,2,3]","[[0,1,2],[0,1,2,3],[2],[0,2,3],[0],[1,2,3]]",FEASIBLE,FEASIBLE,null,0.257488000,0.170255000,False
500084,2,1,"[1,1]",[1],"[[0],[0]]",UNSAT,UNSAT,"[0,1]",0.007041000,0.025336000,False
500085,5,4,"[1,3,3,3,1]","[1,1,3,1]","[[2],[0,1,2,3],[0,1,2],[0,1,2,3],[0,3]]",UNSAT,UNSAT,"[1,2]",0.037730000,0.067333000,False
500086,1,4,[1],"[3,2,3,3]",[[3]],FEASIBLE,FEASIBLE,null,0.005518000,0.014309000,False
500087,1,4,[1],"[3,3,2,2]","[[1,2]]",FEASIBLE,FEASIBLE,null,0.005531000,0.014892000,False
500088,2,5,"[1,2]","[3,3,2,1,2]","[[0,1,2,3,4],[2,3]]",FEASIBLE,FEASIBLE,null,0.015457000,0.026310000,False
500089,3,6,"[1,1,1]","[1,1,2,1,1,2]","[[5],[0,1],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.039951000,0.031722000,False
500090,2,7,"[1,1]","[1,2,1,2,3,2,2]","[[1,2,3,4,5,6],[4,5,6]]",FEASIBLE,FEASIBLE,null,0.019835000,0.026758000,False
500091,5,5,"[1,2,2,2,3]","[1,2,1,3,3]","[[4],[0,2,3],[0,2,3,4],[0,4],[0,1,2,3,4]]",UNSAT,UNSAT,"[0,1,2,3,4]",0.148334000,0.093275000,False
500092,3,3,"[2,2,2]","[2,2,2]","[[0,1,2],[0,2],[0,2]]",UNSAT,UNSAT,"[0,1,2]",0.024152000,0.044665000,False
500093,6,6,"[1,1,3,3,1,3]","[2,2,1,1,3,2]","[[1,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,3,4,5],[4,5],[2,4,5]]",UNSAT,UNSAT,"[0,1,2,3,4,5]",0.363524000,0.091508000,False
500094,5,4,"[1,1,3,3,1]","[3,2,1,2]","[[2],[3],[0,1,2],[1,2,3],[3]]",UNSAT,UNSAT,"[0,2]",0.026643000,0.056842000,False
500095,5,7,"[2,1,1,2,2]","[3,1,2,3,2,2,2]","[[0,1,4,5,6],[2],[0,2,4,6],[0,1,2,3,4,5,6],[0,2]]",FEASIBLE,FEASIBLE,null,0.200984000,0.071395000,False
500096,1,2,[1],"[1,2]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.004217000,0.117718000,False
500097,7,5,"[1,2,2,1,2,2,3]","[2,2,1,1,2]","[[1,2,3,4],[2,4],[1,2,3,4],[1,2,3],[0,1],[0,1,2,3,4],[0,1,2]]",UNSAT,UNSAT,"[1,6]",0.078976000,0.102391000,False
500098,5,7,"[2,3,2,3,1]","[3,1,2,3,3,2,3]","[[0,1,2,3,4,5,6],[0,1,2,3,4,6],[0,2,3],[0,1,2,3,4,5],[0,2,3,5,6]]",FEASIBLE,FEASIBLE,null,0.200241000,0.071155000,False
500099,7,1,"[1,1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.097021000,0.049056000,False
500100,1,4,[1],"[2,1,3,3]","[[0,3]]",FEASIBLE,FEASIBLE,null,0.011577000,0.026757000,False
500101,4,1,"[1,1,1,1]",[2],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.019659000,0.042632000,False
500102,7,4,"[1,1,2,3,2,1,1]","[3,2,1,3]","[[1],[1,3],[0,3],[0,1,2,3],[1,2],[0],[2]]",UNSAT,UNSAT,"[4,6]",0.099044000,0.093029000,False
500103,6,5,"[2,1,1,1,1,3]","[1,3,2,3,3]","[[0,1,3,4],[0,1,2,4],[0,1,2,4],[0,2,3,4],[0,2],[0,2,3,4]]",FEASIBLE,FEASIBLE,null,0.328409000,0.081347000,False
500104,3,4,"[1,1,1]","[3,2,1,1]","[[0,2],[2],[1]]",FEASIBLE,FEASIBLE,null,0.028814000,0.026521000,False
500105,6,2,"[1,1,1,1,1,2]","[1,1]","[[1],[0],[0,1],[0,1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,5]",0.025629000,0.056187000,False
500106,3,5,"[1,1,1]","[2,1,2,3,1]","[[1,2,4],[1],[0,1,3,4]]",FEASIBLE,FEASIBLE,null,0.034777000,0.039087000,False
500107,5,2,"[1,1,1,1,1]","[2,1]","[[0,1],[0],[1],[0,1],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.062677000,0.059281000,False
500108,5,3,"[1,1,2,1,1]","[2,2,2]","[[0,1],[0],[0,1,2],[0,2],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.118331000,0.173876000,False
500109,2,5,"[2,3]","[2,3,1,1,3]","[[1,2],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.015404000,0.031327000,False
500110,1,5,[2],"[3,2,2,3,1]","[[2,3,4]]",FEASIBLE,FEASIBLE,null,0.006048000,0.018311000,False
500111,5,1,"[1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.010544000,0.037604000,False
500112,3,4,"[1,1,1]","[2,3,2,3]","[[1,2,3],[2],[0]]",FEASIBLE,FEASIBLE,null,0.027977000,0.024424000,False
500113,4,1,"[1,1,1,1]",[3],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.024556000,0.035217000,False
500114,5,5,"[3,1,1,1,2]","[3,3,1,1,1]","[[0,2,4],[2],[2],[1,2,4],[1,3,4]]",UNSAT,UNSAT,"[0,1]",0.026283000,0.054143000,False
500115,5,1,"[1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.010468000,0.037551000,False
500116,2,2,"[1,1]","[1,1]","[[1],[1]]",UNSAT,UNSAT,"[0,1]",0.008864000,0.024949000,False
500117,2,5,"[1,1]","[3,2,1,3,2]","[[4],[1,2,3]]",FEASIBLE,FEASIBLE,null,0.014934000,0.020993000,False
500118,1,7,[2],"[3,3,2,3,2,1,1]","[[1,2,6]]",FEASIBLE,FEASIBLE,null,0.007093000,0.019723000,False
500119,1,2,[1],"[1,2]",[[0]],FEASIBLE,FEASIBLE,null,0.004099000,0.012260000,False
500120,6,4,"[2,2,1,1,1,3]","[1,1,2,3]","[[0,3],[0,1,3],[0,1,2,3],[0,2],[1],[0,1,2,3]]",UNSAT,UNSAT,"[0,1,4]",0.087609000,0.071643000,False
500121,6,7,"[2,1,3,2,1,1]","[3,2,1,3,2,1,1]","[[0,1,2,3,5,6],[4],[0,2,3,4,5,6],[2,4,5,6],[4],[0,1,3,4,5]]",FEASIBLE,FEASIBLE,null,0.411088000,0.089313000,False
500122,5,4,"[1,2,2,2,3]","[3,2,3,1]","[[0,2,3],[0,3],[0,2,3],[0,1,3],[0,1,2,3]]",UNSAT,UNSAT,"[1,2,3,4]",0.116383000,0.224853000,False
500123,6,3,"[2,1,1,1,2,1]","[1,3,3]","[[0,2],[0,1],[0,1,2],[2],[0,2],[0,2]]",UNSAT,UNSAT,"[0,4]",0.029816000,0.173452000,False
500124,6,6,"[1,2,3,2,1,3]","[3,1,2,2,1,1]","[[3],[0,1,2,3,4,5],[0,1,3,5],[0,1,2,3,5],[5],[2,3,5]]",UNSAT,UNSAT,"[4,5]",0.105586000,0.102022000,False
500125,2,4,"[2,2]","[2,1,3,3]","[[0,1],[0,3]]",FEASIBLE,FEASIBLE,null,0.013098000,0.028934000,False
500126,1,3,[1],"[3,3,2]","[[0,1,2]]",FEASIBLE,FEASIBLE,null,0.004696000,0.014565000,False
500127,2,7,"[2,2]","[3,2,1,1,2,3,2]","[[0,1,2,3,4,5,6],[1,4]]",FEASIBLE,FEASIBLE,null,0.018990000,0.031209000,False
500128,1,6,[3],"[2,3,3,1,3,3]","[[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.006423000,0.023616000,False
500129,1,4,[1],"[1,2,3,3]",[[3]],FEASIBLE,FEASIBLE,null,0.005248000,0.013218000,False
500130,2,7,"[2,3]","[1,1,2,3,3,1,1]","[[0,1,2,3,5],[0,1,2,3,4,6]]",FEASIBLE,FEASIBLE,null,0.019038000,0.037391000,False
500131,1,3,[2],"[2,2,2]","[[1,2]]",FEASIBLE,FEASIBLE,null,0.004542000,0.016116000,False
500132,1,7,[2],"[1,1,2,3,1,1,1]","[[0,1,2,4,5,6]]",FEASIBLE,FEASIBLE,null,0.007046000,0.021497000,False
500133,4,2,"[1,1,1,1]","[2,3]","[[1],[1],[0],[1]]",FEASIBLE,FEASIBLE,null,0.035737000,0.025602000,False
500134,5,7,"[1,2,3,1,2]","[3,3,1,2,2,1,1]","[[1],[4,6],[2,4,5],[0,2,5],[0,1,2,3,4,5,6]]",FEASIBLE,FEASIBLE,null,0.192837000,0.073447000,False
500135,2,1,"[1,1]",[2],"[[0],[0]]",FEASIBLE,FEASIBLE,null,0.007379000,0.016511000,False
500136,2,5,"[1,1]","[2,3,3,3,1]","[[1,4],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.014599000,0.021874000,False
500137,3,5,"[1,1,1]","[1,3,2,3,1]","[[1,2,3,4],[1],[2]]",FEASIBLE,FEASIBLE,null,0.031672000,0.025401000,False
500138,2,3,"[1,2]","[3,3,2]","[[2],[1,2]]",FEASIBLE,FEASIBLE,null,0.010664000,0.020091000,False
500139,1,2,[1],"[1,2]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.003658000,0.112714000,False
500140,2,4,"[2,1]","[1,1,2,2]","[[1,2],[0,2]]",FEASIBLE,FEASIBLE,null,0.012375000,0.021338000,False
500141,4,4,"[2,1,3,1]","[3,1,1,3]","[[0,2,3],[1,2,3],[0,2,3],[2]]",UNSAT,UNSAT,"[2,3]",0.036166000,0.059742000,False
500142,2,1,"[1,1]",[3],"[[0],[0]]",FEASIBLE,FEASIBLE,null,0.006699000,0.015991000,False
500143,4,3,"[2,1,1,2]","[2,1,3]","[[0,1],[1],[0,1,2],[0,2]]",UNSAT,UNSAT,"[0,1]",0.015353000,0.055623000,False
500144,1,2,[1],"[1,2]",[[1]],FEASIBLE,FEASIBLE,null,0.004539000,0.016252000,False
500145,3,6,"[1,1,1]","[2,3,3,1,1,3]","[[0,2,3,4],[1,2,4,5],[1,2]]",FEASIBLE,FEASIBLE,null,0.037597000,0.029262000,False
500146,4,5,"[1,2,2,1]","[1,1,3,3,1]","[[1],[0,2],[0,1,2,3,4],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.068311000,0.041658000,False
500147,7,1,"[1,1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.041750000,0.047588000,False
500148,2,7,"[3,2]","[3,2,1,1,1,2,2]","[[3,4,5],[3,5]]",UNSAT,UNSAT,"[0,1]",0.018559000,0.038456000,False
500149,1,5,[1],"[2,2,1,1,1]","[[2,3,4]]",FEASIBLE,FEASIBLE,null,0.005826000,0.015813000,False
500150,2,3,"[1,1]","[2,2,1]","[[1],[2]]",FEASIBLE,FEASIBLE,null,0.010805000,0.017635000,False
500151,5,5,"[1,3,2,1,3]","[3,3,3,1,2]","[[4],[0,1,2,3],[0,1,2,3,4],[0,3],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.141137000,0.051833000,False
500152,6,1,"[1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.060880000,0.045857000,False
500153,2,4,"[1,1]","[3,1,1,3]","[[0,1,2,3],[0,2]]",FEASIBLE,FEASIBLE,null,0.012936000,0.021586000,False
500154,4,5,"[3,1,3,1]","[1,3,2,2,3]","[[0,1,2,3,4],[0],[0,1,3,4],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.067588000,0.081733000,False
500155,2,4,"[3,3]","[2,3,3,3]","[[0,2,3],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.012865000,0.031331000,False
500156,1,2,[1],"[2,2]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.004022000,0.012856000,False
500157,4,5,"[3,2,1,1]","[3,3,3,1,2]","[[0,3,4],[1,4],[0,2,3],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.067113000,0.039518000,False
500158,5,7,"[1,2,2,1,1]","[1,2,2,1,3,2,3]","[[0,2],[0,2,3,4,5,6],[1,2,4],[1],[1,2,3,4,5,6]]",FEASIBLE,FEASIBLE,null,0.189004000,0.050106000,False
500159,4,2,"[1,1,1,1]","[2,1]","[[0,1],[0],[1],[1]]",UNSAT,UNSAT,"[2,3]",0.022604000,0.035200000,False
500160,4,6,"[2,1,1,3]","[3,3,2,1,1,2]","[[0,1],[0,1,2,3,4,5],[4,5],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.080361000,0.042166000,False
500161,6,3,"[1,1,1,3,1,2]","[1,3,1]","[[2],[0,2],[0],[0,1,2],[2],[0,1]]",UNSAT,UNSAT,"[0,3]",0.025664000,0.052467000,False
500162,3,1,"[1,1,1]",[1],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.007550000,0.027570000,False
500163,6,2,"[1,2,1,1,1,1]","[1,3]","[[1],[0,1],[0,1],[1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,1,2,3]",0.090039000,0.051219000,False
500164,4,5,"[1,3,1,2]","[1,2,1,1,2]","[[2],[1,2,3,4],[0,1,2,3,4],[1,2,4]]",FEASIBLE,FEASIBLE,null,0.066263000,0.041844000,False
