seed,boxes,resources,demands,capacities,reachable,exhaustive_result,flow_result,exhaustive_subset,exhaustive_ms,flow_ms,mismatch
500047,6,2,"[1,1,2,2,2,1]","[2,2]","[[1],[1],[0,1],[0,1],[0,1],[1]]",UNSAT,UNSAT,"[0,1,2]",0.045338000,0.049016000,False
500048,3,1,"[1,1,1]",[3],"[[0],[0],[0]]",FEASIBLE,FEASIBLE,null,0.012024000,0.019268000,False
500049,5,5,"[1,2,3,1,1]","[1,3,1,3,2]","[[0,1,4],[1,2,3,4],[0,1,2,3],[3],[0,1,2,4]]",FEASIBLE,FEASIBLE,null,0.137190000,0.059594000,False
500050,7,1,"[1,1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.012234000,0.042488000,False
500051,6,3,"[1,2,2,2,1,1]","[3,2,1]","[[1],[0,1,2],[0,1,2],[0,1,2],[1],[0,2]]",UNSAT,UNSAT,"[0,1,2,3]",0.119557000,0.088868000,False
500052,1,1,[1],[3],[[0]],FEASIBLE,FEASIBLE,null,0.003441000,0.012159000,False
500053,6,7,"[2,1,2,1,3,1]","[2,1,1,2,1,2,1]","[[0,6],[0,1,2,3,4,5,6],[3,4],[3,4],[0,2,3,5,6],[3,4,5]]",FEASIBLE,FEASIBLE,null,0.457315000,0.074130000,False
500054,1,2,[1],"[3,1]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.004094000,0.012813000,False
500055,2,4,"[1,1]","[2,3,3,2]","[[2],[1,2,3]]",FEASIBLE,FEASIBLE,null,0.012282000,0.019223000,False
500056,6,6,"[1,2,1,2,1,1]","[3,1,2,3,1,3]","[[0,2,3],[0,1,2,5],[5],[0,1,5],[1],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.344628000,0.071220000,False
500057,3,3,"[2,1,1]","[3,1,1]","[[1,2],[0,1],[2]]",UNSAT,UNSAT,"[0,2]",0.015818000,0.135878000,False
500058,5,1,"[1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.038071000,0.036795000,False
500059,3,2,"[1,1,1]","[2,3]","[[1],[1],[0]]",FEASIBLE,FEASIBLE,null,0.017031000,0.020373000,False
500060,6,1,"[1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.059044000,0.040544000,False
500061,1,7,[3],"[2,2,3,1,3,2,3]","[[2,4,6]]",FEASIBLE,FEASIBLE,null,0.006809000,0.020952000,False
500062,6,4,"[3,2,1,3,2,1]","[1,2,3,1]","[[0,1,2,3],[0,1,2,3],[1,3],[0,1,2],[1,2,3],[2,3]]",UNSAT,UNSAT,"[0,1,3]",0.095394000,0.071193000,False
500063,4,1,"[1,1,1,1]",[3],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.023237000,0.032918000,False
500064,2,1,"[1,1]",[3],"[[0],[0]]",FEASIBLE,FEASIBLE,null,0.006377000,0.015300000,False
500065,4,5,"[1,3,1,1]","[3,1,2,2,2]","[[4],[1,3,4],[0,1,2,3,4],[2]]",FEASIBLE,FEASIBLE,null,0.064634000,0.034845000,False
500066,1,1,[1],[3],[[0]],FEASIBLE,FEASIBLE,null,0.002946000,0.011235000,False
500067,7,1,"[1,1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.039462000,0.043554000,False
500068,6,4,"[3,1,1,2,3,1]","[1,3,3,2]","[[0,1,3],[0,1,2,3],[2],[0,1,2,3],[0,1,2,3],[0,1]]",UNSAT,UNSAT,"[0,3,4,5]",0.181622000,0.071893000,False
500069,6,6,"[2,1,3,2,3,1]","[1,2,3,3,2,3]","[[2,3,4,5],[0,1,4,5],[0,1,2,4,5],[0,1,2,3,4,5],[0,1,2,4],[1,2,3,5]]",FEASIBLE,FEASIBLE,null,0.349644000,0.115240000,False
500070,7,5,"[3,1,1,1,2,1,2]","[1,1,3,1,1]","[[0,1,2,3,4],[0,1,2,3,4],[1,2,3,4],[0,2,4],[0,1,2,3,4],[3],[1,2,3,4]]",UNSAT,UNSAT,"[0,1,4,6]",0.313316000,0.102529000,False
500071,7,1,"[1,1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.184442000,0.048986000,False
500072,1,2,[1],"[1,1]",[[1]],FEASIBLE,FEASIBLE,null,0.006343000,0.013916000,False
500073,3,3,"[1,2,1]","[3,3,1]","[[0,1],[0,1,2],[2]]",FEASIBLE,FEASIBLE,null,0.022672000,0.026210000,False
500074,1,7,[3],"[1,2,2,1,2,2,2]","[[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.007169000,0.022620000,False
500075,4,4,"[1,1,3,1]","[3,1,2,1]","[[1,2],[3],[0,1,2,3],[2]]",UNSAT,UNSAT,"[0,1,2,3]",0.057552000,0.049867000,False
500076,1,2,[2],"[3,3]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.004046000,0.015620000,False
500077,6,7,"[1,2,1,3,1,1]","[1,3,1,1,3,2,1]","[[2,3,4],[0,1,2,4,5],[6],[0,1,3,4,5],[6],[0,1,4,5,6]]",UNSAT,UNSAT,"[2,4]",0.090880000,0.063396000,False
500078,6,2,"[2,1,2,1,1,2]","[1,1]","[[0,1],[0],[0,1],[1],[1],[0,1]]",UNSAT,UNSAT,"[0,1]",0.015692000,0.047994000,False
500079,7,2,"[2,1,2,1,1,1,1]","[1,2]","[[0,1],[1],[0,1],[0],[1],[0,1],[0]]",UNSAT,UNSAT,"[0,2]",0.019557000,0.052020000,False
500080,7,7,"[2,3,3,1,3,3,3]","[2,2,2,1,3,3,2]","[[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,3,6],[0,1,2,3,5,6],[0,1,4,5],[0,1,2,3,5,6],[0,1,2,3,4,5]]",UNSAT,UNSAT,"[0,1,2,4,5,6]",0.755385000,0.158241000,False
500081,6,6,"[2,1,2,1,2,3]","[2,3,2,1,2,3]","[[1,3,4,5],[0,1,5],[1,2,4],[3],[0,1,2,3,5],[1,2,5]]",FEASIBLE,FEASIBLE,null,0.360394000,0.071675000,False
500082,6,1,"[1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.058849000,0.055035000,False
500083,6,4,"[1,1,1,2,1,2]","[2,2,2,3]","[[0,1,2],[0,1,2,3],[2],[0,2,3],[0],[1,2,3]]",FEASIBLE,FEASIBLE,null,0.240328000,0.157707000,False
500084,2,1,"[1,1]",[1],"[[0],[0]]",UNSAT,UNSAT,"[0,1]",0.006678000,0.035424000,False
500085,5,4,"[1,3,3,3,1]","[1,1,3,1]","[[2],[0,1,2,3],[0,1,2],[0,1,2,3],[0,3]]",UNSAT,UNSAT,"[1,2]",0.040914000,0.062124000,False
500086,1,4,[1],"[3,2,3,3]",[[3]],FEASIBLE,FEASIBLE,null,0.005047000,0.013151000,False
500087,1,4,[1],"[3,3,2,2]","[[1,2]]",FEASIBLE,FEASIBLE,null,0.004953000,0.013152000,False
500088,2,5,"[1,2]","[3,3,2,1,2]","[[0,1,2,3,4],[2,3]]",FEASIBLE,FEASIBLE,null,0.013702000,0.023872000,False
500089,3,6,"[1,1,1]","[1,1,2,1,1,2]","[[5],[0,1],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.034215000,0.043477000,False
500090,2,7,"[1,1]","[1,2,1,2,3,2,2]","[[1,2,3,4,5,6],[4,5,6]]",FEASIBLE,FEASIBLE,null,0.017886000,0.023643000,False
500091,5,5,"[1,2,2,2,3]","[1,2,1,3,3]","[[4],[0,2,3],[0,2,3,4],[0,4],[0,1,2,3,4]]",UNSAT,UNSAT,"[0,1,2,3,4]",0.133812000,0.087605000,False
500092,3,3,"[2,2,2]","[2,2,2]","[[0,1,2],[0,2],[0,2]]",UNSAT,UNSAT,"[0,1,2]",0.020774000,0.040973000,False
500093,6,6,"[1,1,3,3,1,3]","[2,2,1,1,3,2]","[[1,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,3,4,5],[4,5],[2,4,5]]",UNSAT,UNSAT,"[0,1,2,3,4,5]",0.448452000,0.130549000,False
500094,5,4,"[1,1,3,3,1]","[3,2,1,2]","[[2],[3],[0,1,2],[1,2,3],[3]]",UNSAT,UNSAT,"[0,2]",0.024329000,0.061326000,False
500095,5,7,"[2,1,1,2,2]","[3,1,2,3,2,2,2]","[[0,1,4,5,6],[2],[0,2,4,6],[0,1,2,3,4,5,6],[0,2]]",FEASIBLE,FEASIBLE,null,0.183007000,0.070163000,False
500096,1,2,[1],"[1,2]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.003846000,0.171024000,False
500097,7,5,"[1,2,2,1,2,2,3]","[2,2,1,1,2]","[[1,2,3,4],[2,4],[1,2,3,4],[1,2,3],[0,1],[0,1,2,3,4],[0,1,2]]",UNSAT,UNSAT,"[1,6]",0.071452000,0.080174000,False
500098,5,7,"[2,3,2,3,1]","[3,1,2,3,3,2,3]","[[0,1,2,3,4,5,6],[0,1,2,3,4,6],[0,2,3],[0,1,2,3,4,5],[0,2,3,5,6]]",FEASIBLE,FEASIBLE,null,0.196690000,0.066854000,False
500099,7,1,"[1,1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.087118000,0.045215000,False
500100,1,4,[1],"[2,1,3,3]","[[0,3]]",FEASIBLE,FEASIBLE,null,0.013739000,0.036008000,False
500101,4,1,"[1,1,1,1]",[2],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.017219000,0.046940000,False
500102,7,4,"[1,1,2,3,2,1,1]","[3,2,1,3]","[[1],[1,3],[0,3],[0,1,2,3],[1,2],[0],[2]]",UNSAT,UNSAT,"[4,6]",0.089509000,0.094430000,False
500103,6,5,"[2,1,1,1,1,3]","[1,3,2,3,3]","[[0,1,3,4],[0,1,2,4],[0,1,2,4],[0,2,3,4],[0,2],[0,2,3,4]]",FEASIBLE,FEASIBLE,null,0.324683000,0.072051000,False
500104,3,4,"[1,1,1]","[3,2,1,1]","[[0,2],[2],[1]]",FEASIBLE,FEASIBLE,null,0.025509000,0.022948000,False
500105,6,2,"[1,1,1,1,1,2]","[1,1]","[[1],[0],[0,1],[0,1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,5]",0.022713000,0.051723000,False
500106,3,5,"[1,1,1]","[2,1,2,3,1]","[[1,2,4],[1],[0,1,3,4]]",FEASIBLE,FEASIBLE,null,0.030421000,0.035612000,False
500107,5,2,"[1,1,1,1,1]","[2,1]","[[0,1],[0],[1],[0,1],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.056265000,0.041062000,False
500108,5,3,"[1,1,2,1,1]","[2,2,2]","[[0,1],[0],[0,1,2],[0,2],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.102884000,0.177653000,False
500109,2,5,"[2,3]","[2,3,1,1,3]","[[1,2],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.014837000,0.029004000,False
500110,1,5,[2],"[3,2,2,3,1]","[[2,3,4]]",FEASIBLE,FEASIBLE,null,0.005692000,0.016887000,False
500111,5,1,"[1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.009782000,0.034991000,False
500112,3,4,"[1,1,1]","[2,3,2,3]","[[1,2,3],[2],[0]]",FEASIBLE,FEASIBLE,null,0.025601000,0.022963000,False
500113,4,1,"[1,1,1,1]",[3],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.023331000,0.032841000,False
500114,5,5,"[3,1,1,1,2]","[3,3,1,1,1]","[[0,2,4],[2],[2],[1,2,4],[1,3,4]]",UNSAT,UNSAT,"[0,1]",0.024031000,0.050099000,False
500115,5,1,"[1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.009681000,0.034403000,False
500116,2,2,"[1,1]","[1,1]","[[1],[1]]",UNSAT,UNSAT,"[0,1]",0.008174000,0.022858000,False
500117,2,5,"[1,1]","[3,2,1,3,2]","[[4],[1,2,3]]",FEASIBLE,FEASIBLE,null,0.013913000,0.019261000,False
500118,1,7,[2],"[3,3,2,3,2,1,1]","[[1,2,6]]",FEASIBLE,FEASIBLE,null,0.006605000,0.174617000,False
500119,1,2,[1],"[1,2]",[[0]],FEASIBLE,FEASIBLE,null,0.004696000,0.012905000,False
500120,6,4,"[2,2,1,1,1,3]","[1,1,2,3]","[[0,3],[0,1,3],[0,1,2,3],[0,2],[1],[0,1,2,3]]",UNSAT,UNSAT,"[0,1,4]",0.080820000,0.066816000,False
500121,6,7,"[2,1,3,2,1,1]","[3,2,1,3,2,1,1]","[[0,1,2,3,5,6],[4],[0,2,3,4,5,6],[2,4,5,6],[4],[0,1,3,4,5]]",FEASIBLE,FEASIBLE,null,0.385333000,0.078411000,False
500122,5,4,"[1,2,2,2,3]","[3,2,3,1]","[[0,2,3],[0,3],[0,2,3],[0,1,3],[0,1,2,3]]",UNSAT,UNSAT,"[1,2,3,4]",0.107129000,0.089185000,False
500123,6,3,"[2,1,1,1,2,1]","[1,3,3]","[[0,2],[0,1],[0,1,2],[2],[0,2],[0,2]]",UNSAT,UNSAT,"[0,4]",0.033020000,0.154377000,False
500124,6,6,"[1,2,3,2,1,3]","[3,1,2,2,1,1]","[[3],[0,1,2,3,4,5],[0,1,3,5],[0,1,2,3,5],[5],[2,3,5]]",UNSAT,UNSAT,"[4,5]",0.097867000,0.101858000,False
500125,2,4,"[2,2]","[2,1,3,3]","[[0,1],[0,3]]",FEASIBLE,FEASIBLE,null,0.018891000,0.023519000,False
500126,1,3,[1],"[3,3,2]","[[0,1,2]]",FEASIBLE,FEASIBLE,null,0.004486000,0.013477000,False
500127,2,7,"[2,2]","[3,2,1,1,2,3,2]","[[0,1,2,3,4,5,6],[1,4]]",FEASIBLE,FEASIBLE,null,0.017853000,0.032942000,False
500128,1,6,[3],"[2,3,3,1,3,3]","[[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.006213000,0.029428000,False
500129,1,4,[1],"[1,2,3,3]",[[3]],FEASIBLE,FEASIBLE,null,0.004951000,0.012890000,False
500130,2,7,"[2,3]","[1,1,2,3,3,1,1]","[[0,1,2,3,5],[0,1,2,3,4,6]]",FEASIBLE,FEASIBLE,null,0.017606000,0.033873000,False
500131,1,3,[2],"[2,2,2]","[[1,2]]",FEASIBLE,FEASIBLE,null,0.004352000,0.014642000,False
500132,1,7,[2],"[1,1,2,3,1,1,1]","[[0,1,2,4,5,6]]",FEASIBLE,FEASIBLE,null,0.006537000,0.024496000,False
500133,4,2,"[1,1,1,1]","[2,3]","[[1],[1],[0],[1]]",FEASIBLE,FEASIBLE,null,0.032796000,0.023443000,False
500134,5,7,"[1,2,3,1,2]","[3,3,1,2,2,1,1]","[[1],[4,6],[2,4,5],[0,2,5],[0,1,2,3,4,5,6]]",FEASIBLE,FEASIBLE,null,0.178250000,0.050165000,False
500135,2,1,"[1,1]",[2],"[[0],[0]]",FEASIBLE,FEASIBLE,null,0.006522000,0.015518000,False
500136,2,5,"[1,1]","[2,3,3,3,1]","[[1,4],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.013641000,0.022755000,False
500137,3,5,"[1,1,1]","[1,3,2,3,1]","[[1,2,3,4],[1],[2]]",FEASIBLE,FEASIBLE,null,0.030037000,0.024012000,False
500138,2,3,"[1,2]","[3,3,2]","[[2],[1,2]]",FEASIBLE,FEASIBLE,null,0.011332000,0.020626000,False
500139,1,2,[1],"[1,2]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.003834000,0.113562000,False
500140,2,4,"[2,1]","[1,1,2,2]","[[1,2],[0,2]]",FEASIBLE,FEASIBLE,null,0.012704000,0.020825000,False
500141,4,4,"[2,1,3,1]","[3,1,1,3]","[[0,2,3],[1,2,3],[0,2,3],[2]]",UNSAT,UNSAT,"[2,3]",0.034170000,0.056742000,False
500142,2,1,"[1,1]",[3],"[[0],[0]]",FEASIBLE,FEASIBLE,null,0.006245000,0.015030000,False
500143,4,3,"[2,1,1,2]","[2,1,3]","[[0,1],[1],[0,1,2],[0,2]]",UNSAT,UNSAT,"[0,1]",0.014534000,0.062625000,False
500144,1,2,[1],"[1,2]",[[1]],FEASIBLE,FEASIBLE,null,0.004658000,0.012142000,False
500145,3,6,"[1,1,1]","[2,3,3,1,1,3]","[[0,2,3,4],[1,2,4,5],[1,2]]",FEASIBLE,FEASIBLE,null,0.037376000,0.028803000,False
500146,4,5,"[1,2,2,1]","[1,1,3,3,1]","[[1],[0,2],[0,1,2,3,4],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.063466000,0.042912000,False
500147,7,1,"[1,1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.038762000,0.043522000,False
500148,2,7,"[3,2]","[3,2,1,1,1,2,2]","[[3,4,5],[3,5]]",UNSAT,UNSAT,"[0,1]",0.017372000,0.035231000,False
500149,1,5,[1],"[2,2,1,1,1]","[[2,3,4]]",FEASIBLE,FEASIBLE,null,0.005553000,0.014988000,False
500150,2,3,"[1,1]","[2,2,1]","[[1],[2]]",FEASIBLE,FEASIBLE,null,0.010127000,0.016513000,False
500151,5,5,"[1,3,2,1,3]","[3,3,3,1,2]","[[4],[0,1,2,3],[0,1,2,3,4],[0,3],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.132744000,0.050911000,False
500152,6,1,"[1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.059364000,0.041881000,False
500153,2,4,"[1,1]","[3,1,1,3]","[[0,1,2,3],[0,2]]",FEASIBLE,FEASIBLE,null,0.012117000,0.019784000,False
500154,4,5,"[3,1,3,1]","[1,3,2,2,3]","[[0,1,2,3,4],[0],[0,1,3,4],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.064831000,0.059500000,False
500155,2,4,"[3,3]","[2,3,3,3]","[[0,2,3],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.012577000,0.030509000,False
500156,1,2,[1],"[2,2]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.003851000,0.012670000,False
500157,4,5,"[3,2,1,1]","[3,3,3,1,2]","[[0,3,4],[1,4],[0,2,3],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.064827000,0.038903000,False
500158,5,7,"[1,2,2,1,1]","[1,2,2,1,3,2,3]","[[0,2],[0,2,3,4,5,6],[1,2,4],[1],[1,2,3,4,5,6]]",FEASIBLE,FEASIBLE,null,0.182986000,0.048191000,False
500159,4,2,"[1,1,1,1]","[2,1]","[[0,1],[0],[1],[1]]",UNSAT,UNSAT,"[2,3]",0.021689000,0.032895000,False
500160,4,6,"[2,1,1,3]","[3,3,2,1,1,2]","[[0,1],[0,1,2,3,4,5],[4,5],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.076000000,0.041614000,False
500161,6,3,"[1,1,1,3,1,2]","[1,3,1]","[[2],[0,2],[0],[0,1,2],[2],[0,1]]",UNSAT,UNSAT,"[0,3]",0.025471000,0.051376000,False
500162,3,1,"[1,1,1]",[1],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.007433000,0.026813000,False
500163,6,2,"[1,2,1,1,1,1]","[1,3]","[[1],[0,1],[0,1],[1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,1,2,3]",0.088304000,0.050771000,False
500164,4,5,"[1,3,1,2]","[1,2,1,1,2]","[[2],[1,2,3,4],[0,1,2,3,4],[1,2,4]]",FEASIBLE,FEASIBLE,null,0.065652000,0.041439000,False
