seed,boxes,resources,demands,capacities,reachable,exhaustive_result,flow_result,exhaustive_subset,exhaustive_ms,flow_ms,mismatch
500012,2,4,"[1,1]","[3,2,1,2]","[[1],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.013038000,0.021578000,False
500013,5,2,"[1,1,1,2,2]","[1,1]","[[0,1],[0],[0,1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,3]",0.019258000,0.047855000,False
500014,6,1,"[1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.063159000,0.045677000,False
500015,1,4,[1],"[2,1,3,3]","[[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.005376000,0.120848000,False
500016,4,6,"[2,3,3,2]","[1,1,2,2,2,3]","[[0,1,2,3,4],[0,2,3,4],[0,1,3,4,5],[0,2,4,5]]",FEASIBLE,FEASIBLE,null,0.081596000,0.057534000,False
500017,5,4,"[2,1,1,3,2]","[2,2,2,3]","[[1,2],[0,1,3],[0,1,2],[0,1,2,3],[2,3]]",FEASIBLE,FEASIBLE,null,0.123509000,0.064717000,False
500018,7,4,"[2,1,1,2,2,1,1]","[2,1,3,2]","[[1,2],[2],[0,2],[1,2,3],[0,1,2,3],[0,1,2,3],[1]]",UNSAT,UNSAT,"[0,6]",0.047094000,0.077044000,False
500019,5,5,"[1,1,1,3,1]","[2,1,3,1,2]","[[0,1],[0,2,3,4],[0],[1,2,3,4],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.145243000,0.065222000,False
500020,7,2,"[1,1,1,2,1,1,1]","[2,1]","[[1],[1],[1],[0,1],[0,1],[1],[0,1]]",UNSAT,UNSAT,"[0,1]",0.018518000,0.055450000,False
500021,6,5,"[2,1,1,3,1,2]","[3,3,3,2,1]","[[0,1,4],[1],[0,2,3,4],[0,1,2],[0,1,2,4],[0,1,3]]",FEASIBLE,FEASIBLE,null,0.305843000,0.070903000,False
500022,6,1,"[1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.012176000,0.043486000,False
500023,1,2,[1],"[3,2]",[[0]],FEASIBLE,FEASIBLE,null,0.004142000,0.012960000,False
500024,7,3,"[2,3,2,2,1,1,1]","[1,2,2]","[[1,2],[0,1,2],[1,2],[0,1],[0],[2],[0]]",UNSAT,UNSAT,"[1,3]",0.044541000,0.064316000,False
500025,4,3,"[1,2,1,1]","[3,3,2]","[[0,2],[1,2],[1],[2]]",FEASIBLE,FEASIBLE,null,0.047688000,0.032149000,False
500026,1,2,[1],"[2,1]",[[1]],FEASIBLE,FEASIBLE,null,0.004204000,0.012870000,False
500027,1,1,[1],[1],[[0]],FEASIBLE,FEASIBLE,null,0.002973000,0.011526000,False
500028,1,6,[1],"[1,3,2,1,2,2]",[[3]],FEASIBLE,FEASIBLE,null,0.006604000,0.016217000,False
500029,5,4,"[1,1,1,2,3]","[2,2,2,3]","[[1,2],[0,1,2,3],[1],[0,1,2,3],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.122004000,0.164613000,False
500030,4,3,"[2,1,1,1]","[1,2,1]","[[0,1,2],[0],[2],[0]]",UNSAT,UNSAT,"[1,3]",0.028220000,0.041531000,False
500031,1,5,[1],"[3,3,1,3,3]",[[2]],FEASIBLE,FEASIBLE,null,0.006028000,0.014617000,False
500032,7,2,"[1,1,1,2,1,1,1]","[1,1]","[[1],[1],[0],[0,1],[0,1],[1],[0,1]]",UNSAT,UNSAT,"[0,1]",0.018707000,0.056234000,False
500033,5,6,"[1,1,2,1,1]","[2,2,3,3,2,2]","[[5],[0,1,2,3,4,5],[0,1,2],[0,1,2,3,4,5],[0,2,3,4]]",FEASIBLE,FEASIBLE,null,0.241634000,0.058199000,False
500034,6,1,"[1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.012136000,0.044422000,False
500035,3,5,"[1,2,2]","[2,3,1,3,3]","[[0,1,2,3,4],[1,2,4],[0,2]]",FEASIBLE,FEASIBLE,null,0.033252000,0.045924000,False
500036,6,2,"[1,2,1,1,2,1]","[1,1]","[[1],[0,1],[0,1],[0,1],[0,1],[0]]",UNSAT,UNSAT,"[0,1]",0.016448000,0.053858000,False
500037,2,6,"[1,1]","[2,3,1,3,3,3]","[[1,2,4],[4]]",FEASIBLE,FEASIBLE,null,0.017218000,0.021763000,False
500038,1,6,[3],"[1,3,1,3,1,1]","[[0,1,2,3,5]]",FEASIBLE,FEASIBLE,null,0.006655000,0.024181000,False
500039,5,5,"[2,1,2,2,1]","[2,1,3,1,1]","[[0,2,4],[0,1,2,3],[2,3,4],[0,1,4],[4]]",FEASIBLE,FEASIBLE,null,0.157861000,0.069024000,False
500040,6,2,"[2,1,1,1,1,1]","[3,1]","[[0,1],[0,1],[0],[0],[0,1],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.097512000,0.054474000,False
500041,3,1,"[1,1,1]",[2],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.013268000,0.031736000,False
500042,4,5,"[3,1,2,1]","[1,3,2,2,2]","[[0,1,3,4],[3,4],[0,2],[0]]",UNSAT,UNSAT,"[2,3]",0.045532000,0.064557000,False
500043,3,7,"[2,1,1]","[3,2,1,2,1,2,2]","[[0,1,3,4,5],[1],[0,1,5]]",FEASIBLE,FEASIBLE,null,0.044417000,0.145776000,False
500044,1,2,[1],"[1,3]",[[1]],FEASIBLE,FEASIBLE,null,0.004556000,0.012810000,False
500045,6,1,"[1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.034912000,0.043546000,False
500046,3,3,"[1,2,1]","[3,3,2]","[[0],[0,1],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.023145000,0.044062000,False
500047,6,2,"[1,1,2,2,2,1]","[2,2]","[[1],[1],[0,1],[0,1],[0,1],[1]]",UNSAT,UNSAT,"[0,1,2]",0.049996000,0.054861000,False
500048,3,1,"[1,1,1]",[3],"[[0],[0],[0]]",FEASIBLE,FEASIBLE,null,0.013151000,0.021435000,False
500049,5,5,"[1,2,3,1,1]","[1,3,1,3,2]","[[0,1,4],[1,2,3,4],[0,1,2,3],[3],[0,1,2,4]]",FEASIBLE,FEASIBLE,null,0.152433000,0.067206000,False
500050,7,1,"[1,1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.013788000,0.046785000,False
500051,6,3,"[1,2,2,2,1,1]","[3,2,1]","[[1],[0,1,2],[0,1,2],[0,1,2],[1],[0,2]]",UNSAT,UNSAT,"[0,1,2,3]",0.132753000,0.065266000,False
500052,1,1,[1],[3],[[0]],FEASIBLE,FEASIBLE,null,0.003362000,0.012456000,False
500053,6,7,"[2,1,2,1,3,1]","[2,1,1,2,1,2,1]","[[0,6],[0,1,2,3,4,5,6],[3,4],[3,4],[0,2,3,5,6],[3,4,5]]",FEASIBLE,FEASIBLE,null,0.431453000,0.078949000,False
500054,1,2,[1],"[3,1]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.004170000,0.014361000,False
500055,2,4,"[1,1]","[2,3,3,2]","[[2],[1,2,3]]",FEASIBLE,FEASIBLE,null,0.013953000,0.020883000,False
500056,6,6,"[1,2,1,2,1,1]","[3,1,2,3,1,3]","[[0,2,3],[0,1,2,5],[5],[0,1,5],[1],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.389172000,0.080127000,False
500057,3,3,"[2,1,1]","[3,1,1]","[[1,2],[0,1],[2]]",UNSAT,UNSAT,"[0,2]",0.017403000,0.140826000,False
500058,5,1,"[1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.042249000,0.042170000,False
500059,3,2,"[1,1,1]","[2,3]","[[1],[1],[0]]",FEASIBLE,FEASIBLE,null,0.018743000,0.022229000,False
500060,6,1,"[1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.064667000,0.044726000,False
500061,1,7,[3],"[2,2,3,1,3,2,3]","[[2,4,6]]",FEASIBLE,FEASIBLE,null,0.007645000,0.022933000,False
500062,6,4,"[3,2,1,3,2,1]","[1,2,3,1]","[[0,1,2,3],[0,1,2,3],[1,3],[0,1,2],[1,2,3],[2,3]]",UNSAT,UNSAT,"[0,1,3]",0.087830000,0.077048000,False
500063,4,1,"[1,1,1,1]",[3],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.025607000,0.036100000,False
500064,2,1,"[1,1]",[3],"[[0],[0]]",FEASIBLE,FEASIBLE,null,0.007091000,0.016976000,False
500065,4,5,"[1,3,1,1]","[3,1,2,2,2]","[[4],[1,3,4],[0,1,2,3,4],[2]]",FEASIBLE,FEASIBLE,null,0.072481000,0.040344000,False
500066,1,1,[1],[3],[[0]],FEASIBLE,FEASIBLE,null,0.003376000,0.012086000,False
500067,7,1,"[1,1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.044403000,0.047441000,False
500068,6,4,"[3,1,1,2,3,1]","[1,3,3,2]","[[0,1,3],[0,1,2,3],[2],[0,1,2,3],[0,1,2,3],[0,1]]",UNSAT,UNSAT,"[0,3,4,5]",0.218420000,0.080119000,False
500069,6,6,"[2,1,3,2,3,1]","[1,2,3,3,2,3]","[[2,3,4,5],[0,1,4,5],[0,1,2,4,5],[0,1,2,3,4,5],[0,1,2,4],[1,2,3,5]]",FEASIBLE,FEASIBLE,null,0.372656000,0.094095000,False
500070,7,5,"[3,1,1,1,2,1,2]","[1,1,3,1,1]","[[0,1,2,3,4],[0,1,2,3,4],[1,2,3,4],[0,2,4],[0,1,2,3,4],[3],[1,2,3,4]]",UNSAT,UNSAT,"[0,1,4,6]",0.349180000,0.094424000,False
500071,7,1,"[1,1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.119231000,0.047156000,False
500072,1,2,[1],"[1,1]",[[1]],FEASIBLE,FEASIBLE,null,0.004311000,0.013520000,False
500073,3,3,"[1,2,1]","[3,3,1]","[[0,1],[0,1,2],[2]]",FEASIBLE,FEASIBLE,null,0.023670000,0.027769000,False
500074,1,7,[3],"[1,2,2,1,2,2,2]","[[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.007654000,0.024270000,False
500075,4,4,"[1,1,3,1]","[3,1,2,1]","[[1,2],[3],[0,1,2,3],[2]]",UNSAT,UNSAT,"[0,1,2,3]",0.061637000,0.050686000,False
500076,1,2,[2],"[3,3]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.004079000,0.016406000,False
500077,6,7,"[1,2,1,3,1,1]","[1,3,1,1,3,2,1]","[[2,3,4],[0,1,2,4,5],[6],[0,1,3,4,5],[6],[0,1,4,5,6]]",UNSAT,UNSAT,"[2,4]",0.114723000,0.071054000,False
500078,6,2,"[2,1,2,1,1,2]","[1,1]","[[0,1],[0],[0,1],[1],[1],[0,1]]",UNSAT,UNSAT,"[0,1]",0.017279000,0.051860000,False
500079,7,2,"[2,1,2,1,1,1,1]","[1,2]","[[0,1],[1],[0,1],[0],[1],[0,1],[0]]",UNSAT,UNSAT,"[0,2]",0.021539000,0.056466000,False
500080,7,7,"[2,3,3,1,3,3,3]","[2,2,2,1,3,3,2]","[[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,3,6],[0,1,2,3,5,6],[0,1,4,5],[0,1,2,3,5,6],[0,1,2,3,4,5]]",UNSAT,UNSAT,"[0,1,2,4,5,6]",0.841774000,0.240196000,False
500081,6,6,"[2,1,2,1,2,3]","[2,3,2,1,2,3]","[[1,3,4,5],[0,1,5],[1,2,4],[3],[0,1,2,3,5],[1,2,5]]",FEASIBLE,FEASIBLE,null,0.372252000,0.080365000,False
500082,6,1,"[1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.066410000,0.054331000,False
500083,6,4,"[1,1,1,2,1,2]","[2,2,2,3]","[[0,1,2],[0,1,2,3],[2],[0,2,3],[0],[1,2,3]]",FEASIBLE,FEASIBLE,null,0.260207000,0.172709000,False
500084,2,1,"[1,1]",[1],"[[0],[0]]",UNSAT,UNSAT,"[0,1]",0.007139000,0.025301000,False
500085,5,4,"[1,3,3,3,1]","[1,1,3,1]","[[2],[0,1,2,3],[0,1,2],[0,1,2,3],[0,3]]",UNSAT,UNSAT,"[1,2]",0.037848000,0.066789000,False
500086,1,4,[1],"[3,2,3,3]",[[3]],FEASIBLE,FEASIBLE,null,0.005550000,0.014525000,False
500087,1,4,[1],"[3,3,2,2]","[[1,2]]",FEASIBLE,FEASIBLE,null,0.005413000,0.014803000,False
500088,2,5,"[1,2]","[3,3,2,1,2]","[[0,1,2,3,4],[2,3]]",FEASIBLE,FEASIBLE,null,0.015358000,0.026620000,False
500089,3,6,"[1,1,1]","[1,1,2,1,1,2]","[[5],[0,1],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.039145000,0.030709000,False
500090,2,7,"[1,1]","[1,2,1,2,3,2,2]","[[1,2,3,4,5,6],[4,5,6]]",FEASIBLE,FEASIBLE,null,0.020421000,0.027382000,False
500091,5,5,"[1,2,2,2,3]","[1,2,1,3,3]","[[4],[0,2,3],[0,2,3,4],[0,4],[0,1,2,3,4]]",UNSAT,UNSAT,"[0,1,2,3,4]",0.150184000,0.095040000,False
500092,3,3,"[2,2,2]","[2,2,2]","[[0,1,2],[0,2],[0,2]]",UNSAT,UNSAT,"[0,1,2]",0.022962000,0.042986000,False
500093,6,6,"[1,1,3,3,1,3]","[2,2,1,1,3,2]","[[1,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,3,4,5],[4,5],[2,4,5]]",UNSAT,UNSAT,"[0,1,2,3,4,5]",0.372837000,0.089683000,False
500094,5,4,"[1,1,3,3,1]","[3,2,1,2]","[[2],[3],[0,1,2],[1,2,3],[3]]",UNSAT,UNSAT,"[0,2]",0.026449000,0.056082000,False
500095,5,7,"[2,1,1,2,2]","[3,1,2,3,2,2,2]","[[0,1,4,5,6],[2],[0,2,4,6],[0,1,2,3,4,5,6],[0,2]]",FEASIBLE,FEASIBLE,null,0.196400000,0.069660000,False
500096,1,2,[1],"[1,2]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.004148000,0.113448000,False
500097,7,5,"[1,2,2,1,2,2,3]","[2,2,1,1,2]","[[1,2,3,4],[2,4],[1,2,3,4],[1,2,3],[0,1],[0,1,2,3,4],[0,1,2]]",UNSAT,UNSAT,"[1,6]",0.078020000,0.086800000,False
500098,5,7,"[2,3,2,3,1]","[3,1,2,3,3,2,3]","[[0,1,2,3,4,5,6],[0,1,2,3,4,6],[0,2,3],[0,1,2,3,4,5],[0,2,3,5,6]]",FEASIBLE,FEASIBLE,null,0.197543000,0.068232000,False
500099,7,1,"[1,1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.095631000,0.047906000,False
500100,1,4,[1],"[2,1,3,3]","[[0,3]]",FEASIBLE,FEASIBLE,null,0.011343000,0.026831000,False
500101,4,1,"[1,1,1,1]",[2],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.019185000,0.043153000,False
500102,7,4,"[1,1,2,3,2,1,1]","[3,2,1,3]","[[1],[1,3],[0,3],[0,1,2,3],[1,2],[0],[2]]",UNSAT,UNSAT,"[4,6]",0.099299000,0.094986000,False
500103,6,5,"[2,1,1,1,1,3]","[1,3,2,3,3]","[[0,1,3,4],[0,1,2,4],[0,1,2,4],[0,2,3,4],[0,2],[0,2,3,4]]",FEASIBLE,FEASIBLE,null,0.308487000,0.078176000,False
500104,3,4,"[1,1,1]","[3,2,1,1]","[[0,2],[2],[1]]",FEASIBLE,FEASIBLE,null,0.029391000,0.028195000,False
500105,6,2,"[1,1,1,1,1,2]","[1,1]","[[1],[0],[0,1],[0,1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,5]",0.027837000,0.057760000,False
500106,3,5,"[1,1,1]","[2,1,2,3,1]","[[1,2,4],[1],[0,1,3,4]]",FEASIBLE,FEASIBLE,null,0.033599000,0.040016000,False
500107,5,2,"[1,1,1,1,1]","[2,1]","[[0,1],[0],[1],[0,1],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.061189000,0.048135000,False
500108,5,3,"[1,1,2,1,1]","[2,2,2]","[[0,1],[0],[0,1,2],[0,2],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.117979000,0.177972000,False
500109,2,5,"[2,3]","[2,3,1,1,3]","[[1,2],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.016253000,0.032157000,False
500110,1,5,[2],"[3,2,2,3,1]","[[2,3,4]]",FEASIBLE,FEASIBLE,null,0.006313000,0.018626000,False
500111,5,1,"[1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.010888000,0.038272000,False
500112,3,4,"[1,1,1]","[2,3,2,3]","[[1,2,3],[2],[0]]",FEASIBLE,FEASIBLE,null,0.028054000,0.024716000,False
500113,4,1,"[1,1,1,1]",[3],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.025304000,0.035163000,False
500114,5,5,"[3,1,1,1,2]","[3,3,1,1,1]","[[0,2,4],[2],[2],[1,2,4],[1,3,4]]",UNSAT,UNSAT,"[0,1]",0.027254000,0.055907000,False
500115,5,1,"[1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.010486000,0.039476000,False
500116,2,2,"[1,1]","[1,1]","[[1],[1]]",UNSAT,UNSAT,"[0,1]",0.008842000,0.026551000,False
500117,2,5,"[1,1]","[3,2,1,3,2]","[[4],[1,2,3]]",FEASIBLE,FEASIBLE,null,0.016133000,0.021716000,False
500118,1,7,[2],"[3,3,2,3,2,1,1]","[[1,2,6]]",FEASIBLE,FEASIBLE,null,0.007352000,0.019501000,False
500119,1,2,[1],"[1,2]",[[0]],FEASIBLE,FEASIBLE,null,0.004021000,0.012367000,False
500120,6,4,"[2,2,1,1,1,3]","[1,1,2,3]","[[0,3],[0,1,3],[0,1,2,3],[0,2],[1],[0,1,2,3]]",UNSAT,UNSAT,"[0,1,4]",0.088697000,0.073669000,False
500121,6,7,"[2,1,3,2,1,1]","[3,2,1,3,2,1,1]","[[0,1,2,3,5,6],[4],[0,2,3,4,5,6],[2,4,5,6],[4],[0,1,3,4,5]]",FEASIBLE,FEASIBLE,null,0.508839000,0.084476000,False
500122,5,4,"[1,2,2,2,3]","[3,2,3,1]","[[0,2,3],[0,3],[0,2,3],[0,1,3],[0,1,2,3]]",UNSAT,UNSAT,"[1,2,3,4]",0.140850000,0.090533000,False
500123,6,3,"[2,1,1,1,2,1]","[1,3,3]","[[0,2],[0,1],[0,1,2],[2],[0,2],[0,2]]",UNSAT,UNSAT,"[0,4]",0.030292000,0.163609000,False
500124,6,6,"[1,2,3,2,1,3]","[3,1,2,2,1,1]","[[3],[0,1,2,3,4,5],[0,1,3,5],[0,1,2,3,5],[5],[2,3,5]]",UNSAT,UNSAT,"[4,5]",0.107681000,0.102663000,False
500125,2,4,"[2,2]","[2,1,3,3]","[[0,1],[0,3]]",FEASIBLE,FEASIBLE,null,0.013165000,0.025109000,False
500126,1,3,[1],"[3,3,2]","[[0,1,2]]",FEASIBLE,FEASIBLE,null,0.004814000,0.015768000,False
500127,2,7,"[2,2]","[3,2,1,1,2,3,2]","[[0,1,2,3,4,5,6],[1,4]]",FEASIBLE,FEASIBLE,null,0.019062000,0.030490000,False
500128,1,6,[3],"[2,3,3,1,3,3]","[[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.006542000,0.024478000,False
500129,1,4,[1],"[1,2,3,3]",[[3]],FEASIBLE,FEASIBLE,null,0.005308000,0.014535000,False
500130,2,7,"[2,3]","[1,1,2,3,3,1,1]","[[0,1,2,3,5],[0,1,2,3,4,6]]",FEASIBLE,FEASIBLE,null,0.019205000,0.041386000,False
500131,1,3,[2],"[2,2,2]","[[1,2]]",FEASIBLE,FEASIBLE,null,0.004806000,0.016719000,False
500132,1,7,[2],"[1,1,2,3,1,1,1]","[[0,1,2,4,5,6]]",FEASIBLE,FEASIBLE,null,0.007166000,0.021808000,False
500133,4,2,"[1,1,1,1]","[2,3]","[[1],[1],[0],[1]]",FEASIBLE,FEASIBLE,null,0.037990000,0.026682000,False
500134,5,7,"[1,2,3,1,2]","[3,3,1,2,2,1,1]","[[1],[4,6],[2,4,5],[0,2,5],[0,1,2,3,4,5,6]]",FEASIBLE,FEASIBLE,null,0.199485000,0.071013000,False
500135,2,1,"[1,1]",[2],"[[0],[0]]",FEASIBLE,FEASIBLE,null,0.007274000,0.017003000,False
500136,2,5,"[1,1]","[2,3,3,3,1]","[[1,4],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.015229000,0.022914000,False
500137,3,5,"[1,1,1]","[1,3,2,3,1]","[[1,2,3,4],[1],[2]]",FEASIBLE,FEASIBLE,null,0.033386000,0.027420000,False
500138,2,3,"[1,2]","[3,3,2]","[[2],[1,2]]",FEASIBLE,FEASIBLE,null,0.011256000,0.021413000,False
500139,1,2,[1],"[1,2]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.004078000,0.115045000,False
500140,2,4,"[2,1]","[1,1,2,2]","[[1,2],[0,2]]",FEASIBLE,FEASIBLE,null,0.013166000,0.022511000,False
500141,4,4,"[2,1,3,1]","[3,1,1,3]","[[0,2,3],[1,2,3],[0,2,3],[2]]",UNSAT,UNSAT,"[2,3]",0.037961000,0.061409000,False
500142,2,1,"[1,1]",[3],"[[0],[0]]",FEASIBLE,FEASIBLE,null,0.006829000,0.016629000,False
500143,4,3,"[2,1,1,2]","[2,1,3]","[[0,1],[1],[0,1,2],[0,2]]",UNSAT,UNSAT,"[0,1]",0.016234000,0.056287000,False
500144,1,2,[1],"[1,2]",[[1]],FEASIBLE,FEASIBLE,null,0.004209000,0.012843000,False
500145,3,6,"[1,1,1]","[2,3,3,1,1,3]","[[0,2,3,4],[1,2,4,5],[1,2]]",FEASIBLE,FEASIBLE,null,0.039115000,0.029177000,False
500146,4,5,"[1,2,2,1]","[1,1,3,3,1]","[[1],[0,2],[0,1,2,3,4],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.070206000,0.042514000,False
500147,7,1,"[1,1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.043047000,0.048240000,False
500148,2,7,"[3,2]","[3,2,1,1,1,2,2]","[[3,4,5],[3,5]]",UNSAT,UNSAT,"[0,1]",0.019382000,0.038870000,False
500149,1,5,[1],"[2,2,1,1,1]","[[2,3,4]]",FEASIBLE,FEASIBLE,null,0.006086000,0.016453000,False
500150,2,3,"[1,1]","[2,2,1]","[[1],[2]]",FEASIBLE,FEASIBLE,null,0.011646000,0.019086000,False
500151,5,5,"[1,3,2,1,3]","[3,3,3,1,2]","[[4],[0,1,2,3],[0,1,2,3,4],[0,3],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.147538000,0.054355000,False
500152,6,1,"[1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.066479000,0.044343000,False
500153,2,4,"[1,1]","[3,1,1,3]","[[0,1,2,3],[0,2]]",FEASIBLE,FEASIBLE,null,0.013266000,0.021604000,False
500154,4,5,"[3,1,3,1]","[1,3,2,2,3]","[[0,1,2,3,4],[0],[0,1,3,4],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.069418000,0.059919000,False
500155,2,4,"[3,3]","[2,3,3,3]","[[0,2,3],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.013224000,0.032002000,False
500156,1,2,[1],"[2,2]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.004033000,0.013077000,False
500157,4,5,"[3,2,1,1]","[3,3,3,1,2]","[[0,3,4],[1,4],[0,2,3],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.069805000,0.041201000,False
500158,5,7,"[1,2,2,1,1]","[1,2,2,1,3,2,3]","[[0,2],[0,2,3,4,5,6],[1,2,4],[1],[1,2,3,4,5,6]]",FEASIBLE,FEASIBLE,null,0.195960000,0.051583000,False
500159,4,2,"[1,1,1,1]","[2,1]","[[0,1],[0],[1],[1]]",UNSAT,UNSAT,"[2,3]",0.023563000,0.034965000,False
500160,4,6,"[2,1,1,3]","[3,3,2,1,1,2]","[[0,1],[0,1,2,3,4,5],[4,5],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.081092000,0.044266000,False
500161,6,3,"[1,1,1,3,1,2]","[1,3,1]","[[2],[0,2],[0],[0,1,2],[2],[0,1]]",UNSAT,UNSAT,"[0,3]",0.027592000,0.054985000,False
500162,3,1,"[1,1,1]",[1],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.008287000,0.028886000,False
500163,6,2,"[1,2,1,1,1,1]","[1,3]","[[1],[0,1],[0,1],[1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,1,2,3]",0.096612000,0.067578000,False
500164,4,5,"[1,3,1,2]","[1,2,1,1,2]","[[2],[1,2,3,4],[0,1,2,3,4],[1,2,4]]",FEASIBLE,FEASIBLE,null,0.103176000,0.046452000,False
