experiment,run_order,instance,cnf_sha256,variables,clauses,solver,solver_version,binary_sha256,seed,repetition,timeout_seconds,runtime_seconds,status,timed_out,exit_code,peak_rss_kb,conflicts,decisions,propagations,raw_log
phase1-smoke-baseline,11,benchmark/cnfs/smoke/sat.cnf,3ac33c120f6a13a8d3b4cba665e1adc13ebbea9e3ee4061e5dc9989d74a1e232,3,3,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,3,2,10.0,0.038503990,SATISFIABLE,False,10,1768,0,0,0,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00011__sat__cadical__seed3__rep2.log
phase1-smoke-baseline,12,benchmark/cnfs/smoke/sat.cnf,3ac33c120f6a13a8d3b4cba665e1adc13ebbea9e3ee4061e5dc9989d74a1e232,3,3,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,3,2,10.0,0.018048695,SATISFIABLE,False,10,1172,0,0,3,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00012__sat__kissat__seed3__rep2.log
phase1-smoke-baseline,13,benchmark/cnfs/smoke/unsat.cnf,4c2883576dc96ce2346203caac3167cd84f86dd7419e09ab0063eb510ff8108f,2,4,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,1,10.0,0.038944733,UNSATISFIABLE,False,20,1836,0,0,0,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00013__unsat__cadical__seed1__rep1.log
phase1-smoke-baseline,14,benchmark/cnfs/smoke/unsat.cnf,4c2883576dc96ce2346203caac3167cd84f86dd7419e09ab0063eb510ff8108f,2,4,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,1,10.0,0.024606753,UNSATISFIABLE,False,20,1172,0,0,2,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00014__unsat__kissat__seed1__rep1.log
phase1-smoke-baseline,15,benchmark/cnfs/smoke/unsat.cnf,4c2883576dc96ce2346203caac3167cd84f86dd7419e09ab0063eb510ff8108f,2,4,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,2,1,10.0,0.025397807,UNSATISFIABLE,False,20,1172,0,0,2,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00015__unsat__kissat__seed2__rep1.log
phase1-smoke-baseline,16,benchmark/cnfs/smoke/unsat.cnf,4c2883576dc96ce2346203caac3167cd84f86dd7419e09ab0063eb510ff8108f,2,4,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,2,1,10.0,0.056701212,UNSATISFIABLE,False,20,1836,0,0,0,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00016__unsat__cadical__seed2__rep1.log
phase1-smoke-baseline,17,benchmark/cnfs/smoke/unsat.cnf,4c2883576dc96ce2346203caac3167cd84f86dd7419e09ab0063eb510ff8108f,2,4,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,3,1,10.0,0.050156254,UNSATISFIABLE,False,20,1832,0,0,0,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00017__unsat__cadical__seed3__rep1.log
phase1-smoke-baseline,18,benchmark/cnfs/smoke/unsat.cnf,4c2883576dc96ce2346203caac3167cd84f86dd7419e09ab0063eb510ff8108f,2,4,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,3,1,10.0,0.018918927,UNSATISFIABLE,False,20,1172,0,0,2,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00018__unsat__kissat__seed3__rep1.log
phase1-smoke-baseline,19,benchmark/cnfs/smoke/unsat.cnf,4c2883576dc96ce2346203caac3167cd84f86dd7419e09ab0063eb510ff8108f,2,4,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,2,10.0,0.025031272,UNSATISFIABLE,False,20,1172,0,0,2,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00019__unsat__kissat__seed1__rep2.log
phase1-smoke-baseline,20,benchmark/cnfs/smoke/unsat.cnf,4c2883576dc96ce2346203caac3167cd84f86dd7419e09ab0063eb510ff8108f,2,4,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,2,10.0,0.054738291,UNSATISFIABLE,False,20,1836,0,0,0,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00020__unsat__cadical__seed1__rep2.log
phase1-smoke-baseline,21,benchmark/cnfs/smoke/unsat.cnf,4c2883576dc96ce2346203caac3167cd84f86dd7419e09ab0063eb510ff8108f,2,4,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,2,2,10.0,0.049940823,UNSATISFIABLE,False,20,1836,0,0,0,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00021__unsat__cadical__seed2__rep2.log
phase1-smoke-baseline,22,benchmark/cnfs/smoke/unsat.cnf,4c2883576dc96ce2346203caac3167cd84f86dd7419e09ab0063eb510ff8108f,2,4,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,2,2,10.0,0.019507388,UNSATISFIABLE,False,20,1172,0,0,2,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00022__unsat__kissat__seed2__rep2.log
phase1-smoke-baseline,23,benchmark/cnfs/smoke/unsat.cnf,4c2883576dc96ce2346203caac3167cd84f86dd7419e09ab0063eb510ff8108f,2,4,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,3,2,10.0,0.018782463,UNSATISFIABLE,False,20,1176,0,0,2,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00023__unsat__kissat__seed3__rep2.log
phase1-smoke-baseline,24,benchmark/cnfs/smoke/unsat.cnf,4c2883576dc96ce2346203caac3167cd84f86dd7419e09ab0063eb510ff8108f,2,4,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,3,2,10.0,0.050143163,UNSATISFIABLE,False,20,1832,0,0,0,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00024__unsat__cadical__seed3__rep2.log
