seed,boxes,resources,demands,capacities,reachable,exhaustive_result,flow_result,exhaustive_subset,exhaustive_ms,flow_ms,maximum_flow,total_demand,flow_nodes,flow_edges,mismatch
300024,4,5,"[2,1,2,2]","[3,2,2,2,2]","[[0,1,2,3,4],[0,1,2,3],[0,2],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.055906000,0.104965000,7,7,11,24,False
300025,1,4,[1],"[2,1,3,1]",[[0]],FEASIBLE,FEASIBLE,null,0.004395000,0.011220000,1,1,7,6,False
300026,2,3,"[2,2]","[3,1,2]","[[0,1,2],[0,2]]",FEASIBLE,FEASIBLE,null,0.008894000,0.020933000,4,4,7,10,False
300027,4,5,"[2,2,1,1]","[1,3,3,2,3]","[[3,4],[0,4],[0],[1,2,4]]",UNSAT,UNSAT,"[1,2]",0.028400000,0.037014000,5,6,11,17,False
300028,6,2,"[1,2,1,2,2,1]","[3,2]","[[0,1],[0,1],[0,1],[0,1],[0,1],[1]]",UNSAT,UNSAT,"[1,3,4]",0.061699000,0.045730000,5,9,10,19,False
300029,4,5,"[2,1,2,2]","[2,2,2,3,1]","[[0,1,2,3,4],[1,2,3],[0,1,3],[0,1,2,4]]",FEASIBLE,FEASIBLE,null,0.056445000,0.037460000,7,7,11,24,False
300030,4,1,"[1,1,1,1]",[1],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.007475000,0.026532000,1,4,7,9,False
300031,1,3,[3],"[3,1,1]","[[0,1,2]]",FEASIBLE,FEASIBLE,null,0.004401000,0.016742000,3,3,6,7,False
300032,4,1,"[1,1,1,1]",[3],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.020028000,0.028569000,3,4,7,9,False
300033,2,1,"[1,1]",[2],"[[0],[0]]",FEASIBLE,FEASIBLE,null,0.005432000,0.013316000,2,2,5,5,False
300034,2,2,"[1,1]","[1,3]","[[0,1],[1]]",FEASIBLE,FEASIBLE,null,0.007225000,0.014414000,2,2,6,7,False
300035,1,4,[1],"[2,2,3,1]","[[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.004196000,0.013115000,1,1,7,9,False
300036,6,1,"[1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.051163000,0.034728000,3,6,9,13,False
300037,5,3,"[1,3,3,1,3]","[3,1,2]","[[1],[0,1,2],[0,1,2],[1],[0,1,2]]",UNSAT,UNSAT,"[0,1]",0.014899000,0.046807000,6,11,10,19,False
300038,5,1,"[1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.008325000,0.031789000,1,5,8,11,False
300039,4,2,"[2,1,1,1]","[2,1]","[[0,1],[0],[0,1],[1]]",UNSAT,UNSAT,"[0,3]",0.013499000,0.034735000,3,5,8,12,False
300040,1,4,[3],"[2,1,1,2]","[[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.004380000,0.017861000,3,3,7,9,False
300041,5,5,"[3,2,1,1,2]","[1,2,2,3,3]","[[0,3,4],[1,2,4],[0,1,3],[0,3,4],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.119072000,0.045693000,9,9,12,27,False
300042,2,1,"[1,1]",[2],"[[0],[0]]",FEASIBLE,FEASIBLE,null,0.005765000,0.013682000,2,2,5,5,False
300043,3,2,"[1,1,2]","[3,3]","[[0],[1],[0,1]]",FEASIBLE,FEASIBLE,null,0.014335000,0.019972000,4,4,7,9,False
300044,5,5,"[2,1,2,3,1]","[1,3,1,1,1]","[[0,2],[0],[3,4],[0,1,2,4],[3]]",UNSAT,UNSAT,"[0,1]",0.021002000,0.049406000,5,9,12,20,False
300045,4,6,"[3,1,2,3]","[1,3,1,1,2,2]","[[0,2,3,4],[0,1,2,3,4],[1,2,3,4,5],[0,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.085369000,0.058241000,9,9,12,29,False
300046,6,4,"[3,1,1,1,2,1]","[1,2,1,3]","[[0,1,3],[0,1,2,3],[0,2],[1,2],[0,1],[0,2,3]]",UNSAT,UNSAT,"[0,4]",0.029018000,0.070339000,7,9,12,26,False
300047,5,5,"[1,1,1,1,2]","[3,3,2,3,3]","[[0,1,2,3,4],[2],[1,2],[2],[2,4]]",UNSAT,UNSAT,"[1,3,4]",0.085022000,0.040643000,5,6,12,21,False
300048,3,5,"[1,2,3]","[1,2,2,3,2]","[[3],[0,4],[0,3,4]]",UNSAT,UNSAT,"[1,2]",0.021790000,0.033753000,5,6,10,14,False
300049,6,5,"[2,2,1,2,3,1]","[3,2,2,1,2]","[[0,1,4],[3,4],[3,4],[0,2,4],[0,1,2,3,4],[0,2,3,4]]",UNSAT,UNSAT,"[0,1,2,3,4,5]",0.238917000,0.063217000,10,11,13,30,False
300050,3,1,"[1,1,1]",[1],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.006526000,0.023385000,1,3,6,7,False
300051,3,3,"[1,1,3]","[3,2,2]","[[0],[0,1,2],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.018247000,0.024058000,5,5,8,13,False
300052,3,6,"[1,1,1]","[2,2,2,3,1,2]","[[0,1,4],[0,1,2,3,4,5],[0,4]]",FEASIBLE,FEASIBLE,null,0.030348000,0.025566000,3,3,11,20,False
300053,4,2,"[1,1,1,2]","[1,3]","[[0,1],[0,1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,1,2,3]",0.028030000,0.156104000,4,5,8,14,False
300054,3,1,"[1,1,1]",[3],"[[0],[0],[0]]",FEASIBLE,FEASIBLE,null,0.010359000,0.016709000,3,3,6,7,False
300055,4,5,"[2,1,1,1]","[1,1,2,1,2]","[[1,3],[0,2],[0,2,3,4],[0,1,3,4]]",FEASIBLE,FEASIBLE,null,0.053560000,0.031561000,5,5,11,21,False
300056,4,3,"[2,1,3,2]","[3,1,3]","[[1,2],[1],[0,1,2],[0,1,2]]",UNSAT,UNSAT,"[0,1]",0.012443000,0.038949000,6,8,9,16,False
300057,2,3,"[2,3]","[2,1,1]","[[0,1],[0,1,2]]",UNSAT,UNSAT,"[0,1]",0.008630000,0.028547000,4,5,7,10,False
300058,4,1,"[1,1,1,1]",[2],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.015019000,0.027826000,2,4,7,9,False
300059,3,6,"[2,3,1]","[2,2,1,2,2,1]","[[0,1,4,5],[0,1,5],[0]]",FEASIBLE,FEASIBLE,null,0.029087000,0.035436000,6,6,11,17,False
300060,6,3,"[1,2,1,3,1,1]","[2,3,2]","[[2],[0,1,2],[1,2],[0,1,2],[1],[0,1]]",UNSAT,UNSAT,"[0,1,2,3,4]",0.151933000,0.049499000,7,9,11,21,False
300061,1,6,[3],"[2,1,3,2,3,3]","[[1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.005505000,0.018965000,3,3,9,12,False
300062,5,5,"[1,1,2,1,2]","[2,2,2,2,1]","[[0,2],[0,1,2,4],[1,2,3,4],[3],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.113927000,0.035303000,7,7,12,25,False
300063,2,5,"[2,2]","[2,2,1,3,3]","[[0,2,4],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.011945000,0.022286000,4,4,9,15,False
300064,3,1,"[1,1,1]",[1],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.006317000,0.022684000,1,3,6,7,False
300065,2,5,"[2,2]","[2,3,2,2,3]","[[1,4],[0,1,3,4]]",FEASIBLE,FEASIBLE,null,0.011913000,0.021091000,4,4,9,13,False
300066,5,5,"[2,1,1,3,1]","[1,3,1,2,2]","[[0,2,3],[4],[0,2,3],[1,2,3],[2]]",UNSAT,UNSAT,"[3,4]",0.051288000,0.047433000,6,8,12,21,False
300067,2,5,"[1,3]","[2,2,2,2,1]","[[0,1,2,3,4],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.011724000,0.023879000,4,4,9,16,False
300068,4,5,"[3,2,2,3]","[3,3,2,3,3]","[[0,1,2,3,4],[1,3,4],[0,2,4],[1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.054077000,0.115432000,10,10,11,24,False
300069,2,5,"[2,1]","[1,3,1,2,3]","[[0,1,2,3,4],[2]]",FEASIBLE,FEASIBLE,null,0.011701000,0.019821000,3,3,9,13,False
300070,5,2,"[1,1,1,1,1]","[1,3]","[[0],[0],[1],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.011459000,0.030282000,2,5,9,12,False
300071,4,6,"[2,2,1,1]","[2,3,2,1,2,3]","[[1,2,3],[0,2,3,4],[3],[0,1,2,5]]",FEASIBLE,FEASIBLE,null,0.063864000,0.031067000,6,6,12,22,False
300072,3,6,"[1,1,2]","[1,2,2,2,3,2]","[[5],[0],[0,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.029228000,0.023882000,4,4,11,16,False
300073,4,3,"[2,2,1,2]","[1,1,2]","[[0,1,2],[0,1,2],[0,2],[0,1,2]]",UNSAT,UNSAT,"[0,1,2]",0.026552000,0.041012000,4,7,9,18,False
300074,1,2,[2],"[2,2]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.003297000,0.012726000,2,2,5,5,False
300075,6,5,"[1,1,3,2,1,2]","[3,1,1,2,2]","[[2,3],[1],[0,1,2,4],[0,1,2,4],[0,1,3],[1,2]]",UNSAT,UNSAT,"[1,5]",0.050782000,0.066575000,8,10,13,27,False
300076,1,6,[3],"[1,2,2,1,1,3]","[[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.005307000,0.018415000,3,3,9,12,False
300077,2,3,"[1,1]","[2,2,2]","[[0],[2]]",FEASIBLE,FEASIBLE,null,0.008579000,0.014064000,2,2,7,7,False
300078,3,2,"[1,2,1]","[3,1]","[[0],[0,1],[0]]",FEASIBLE,FEASIBLE,null,0.013866000,0.019332000,4,4,7,9,False
300079,1,4,[3],"[3,2,3,2]","[[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.004316000,0.026514000,3,3,7,9,False
300080,6,6,"[3,1,2,1,1,1]","[1,1,1,3,1,3]","[[0,1,2,3,4,5],[4],[0,1,4,5],[3,4],[0,1,2,3,4,5],[0]]",FEASIBLE,FEASIBLE,null,0.278432000,0.074959000,9,9,14,32,False
300081,3,3,"[1,2,2]","[1,3,2]","[[0,1,2],[0,1,2],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.018004000,0.027556000,5,5,8,15,False
300082,4,3,"[2,1,1,1]","[1,1,2]","[[1,2],[1],[0],[1,2]]",UNSAT,UNSAT,"[0,1]",0.012512000,0.104677000,4,5,9,13,False
300083,1,6,[3],"[1,3,1,1,3,1]","[[0,2,3,5]]",FEASIBLE,FEASIBLE,null,0.005245000,0.017694000,3,3,9,11,False
300084,6,6,"[1,2,3,1,1,1]","[3,3,2,3,1,3]","[[1],[1,2,3,4,5],[0,1,4,5],[0,1,3,4],[1,2,4,5],[1,3]]",FEASIBLE,FEASIBLE,null,0.282262000,0.043956000,9,9,14,32,False
300085,5,2,"[1,1,2,1,1]","[2,3]","[[1],[0,1],[0,1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,1,2,3,4]",0.057818000,0.041237000,5,6,9,16,False
300086,2,5,"[1,3]","[2,3,3,3,2]","[[3],[1,2,4]]",FEASIBLE,FEASIBLE,null,0.012138000,0.020546000,4,4,9,11,False
300087,5,2,"[1,1,1,2,1]","[3,2]","[[0,1],[1],[0],[0,1],[0,1]]",UNSAT,UNSAT,"[0,1,2,3,4]",0.057832000,0.037625000,5,6,9,15,False
300088,4,5,"[1,3,1,1]","[2,3,1,1,2]","[[0,2,3],[0,2,3,4],[0,1,2,3,4],[1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.054663000,0.033514000,6,6,11,25,False
300089,1,1,[1],[3],[[0]],FEASIBLE,FEASIBLE,null,0.002680000,0.009370000,1,1,4,3,False
300090,6,6,"[1,1,2,3,3,3]","[3,3,2,2,3,2]","[[2,4],[5],[3,5],[0,3,5],[1,2,3,4,5],[0,2,3,4]]",UNSAT,UNSAT,"[1,2,3]",0.130614000,0.073296000,12,13,14,29,False
300091,3,4,"[3,2,1]","[2,2,1,3]","[[0,1,2],[0,1],[2]]",UNSAT,UNSAT,"[0,2]",0.015373000,0.031659000,5,6,9,13,False
300092,1,2,[1],"[1,2]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.003800000,0.011631000,1,1,5,5,False
300093,3,5,"[2,1,3]","[2,1,3,1,1]","[[0,1],[0],[1,2,4]]",UNSAT,UNSAT,"[0,2]",0.018223000,0.032809000,5,6,10,14,False
300094,6,5,"[2,1,1,1,1,2]","[1,3,3,2,1]","[[0,1,2,4],[0,4],[2],[0,4],[0,1,2,4],[0,4]]",UNSAT,UNSAT,"[1,5]",0.049527000,0.062494000,6,8,13,26,False
300095,1,1,[1],[3],[[0]],FEASIBLE,FEASIBLE,null,0.002651000,0.009494000,1,1,4,3,False
300096,5,4,"[1,3,3,1,3]","[1,1,3,3]","[[1,2,3],[0,1,3],[0,1,2],[0,1,2,3],[0,1,3]]",UNSAT,UNSAT,"[1,2]",0.028689000,0.142683000,7,11,11,25,False
300097,1,2,[1],"[2,3]",[[1]],FEASIBLE,FEASIBLE,null,0.003352000,0.010297000,1,1,5,4,False
300098,1,4,[1],"[3,1,3,1]",[[3]],FEASIBLE,FEASIBLE,null,0.004060000,0.010726000,1,1,7,6,False
300099,1,5,[2],"[3,2,3,2,2]","[[0,2]]",FEASIBLE,FEASIBLE,null,0.004603000,0.013656000,2,2,8,8,False
300100,1,5,[2],"[1,1,1,1,1]","[[0,1,2,4]]",FEASIBLE,FEASIBLE,null,0.007153000,0.020122000,2,2,8,10,False
300101,4,3,"[2,2,3,1]","[3,2,3]","[[1,2],[0,1,2],[0,1,2],[1]]",UNSAT,UNSAT,"[0,2,3]",0.032160000,0.052960000,7,8,9,16,False
300102,3,3,"[2,3,1]","[1,2,1]","[[1,2],[0,1,2],[0,1]]",UNSAT,UNSAT,"[0,1]",0.010792000,0.035065000,4,6,8,13,False
300103,2,6,"[1,1]","[1,3,1,3,1,2]","[[0,1,2,3],[4]]",FEASIBLE,FEASIBLE,null,0.013619000,0.018083000,2,2,10,13,False
300104,3,5,"[3,3,2]","[3,2,1,3,3]","[[0,1,4],[0,1,4],[0,1,4]]",FEASIBLE,FEASIBLE,null,0.025516000,0.031726000,8,8,10,17,False
300105,4,2,"[2,2,2,1]","[3,2]","[[0,1],[0,1],[0,1],[1]]",UNSAT,UNSAT,"[0,1,2]",0.055291000,0.037681000,5,7,8,13,False
300106,1,1,[1],[2],[[0]],FEASIBLE,FEASIBLE,null,0.002892000,0.009821000,1,1,4,3,False
300107,6,3,"[1,1,2,1,1,3]","[3,3,3]","[[1],[0,1],[0,1,2],[0,2],[2],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.156967000,0.050212000,9,9,11,21,False
300108,5,2,"[1,1,2,2,1]","[3,1]","[[1],[0,1],[0,1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,2]",0.013397000,0.040171000,4,7,9,16,False
300109,3,2,"[1,1,1]","[3,1]","[[0],[0],[1]]",FEASIBLE,FEASIBLE,null,0.014139000,0.017278000,3,3,7,8,False
300110,3,6,"[1,3,1]","[2,3,2,2,2,1]","[[0,1,3,4,5],[1,2,3,4,5],[2,3]]",FEASIBLE,FEASIBLE,null,0.034365000,0.045135000,5,5,11,21,False
300111,3,1,"[1,1,1]",[1],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.006746000,0.023933000,1,3,6,7,False
300112,5,2,"[1,1,1,1,1]","[1,2]","[[0],[0,1],[1],[1],[0,1]]",UNSAT,UNSAT,"[0,1,2,3]",0.048635000,0.038316000,3,5,9,14,False
300113,1,6,[1],"[2,1,2,1,2,1]","[[0,1,3,4,5]]",FEASIBLE,FEASIBLE,null,0.005349000,0.097867000,1,1,9,12,False
300114,4,5,"[1,2,2,1]","[1,2,1,2,1]","[[1],[2,3],[1,2,3],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.054065000,0.030507000,6,6,11,20,False
300115,3,6,"[1,3,1]","[2,1,1,2,2,2]","[[3],[0,1,3,4,5],[4]]",FEASIBLE,FEASIBLE,null,0.043315000,0.026382000,5,5,11,16,False
300116,3,6,"[1,2,1]","[2,3,3,3,1,1]","[[5],[4,5],[0,4,5]]",UNSAT,UNSAT,"[0,1]",0.017097000,0.030460000,3,4,11,15,False
300117,1,6,[1],"[3,2,3,1,2,3]","[[0,1,3,4]]",FEASIBLE,FEASIBLE,null,0.005352000,0.014150000,1,1,9,11,False
300118,5,2,"[1,1,1,1,1]","[3,1]","[[0,1],[0],[0],[0],[1]]",UNSAT,UNSAT,"[0,1,2,3,4]",0.057221000,0.034889000,4,5,9,13,False
300119,3,1,"[1,1,1]",[1],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.006378000,0.022848000,1,3,6,7,False
300120,3,4,"[1,1,1]","[1,2,2,3]","[[0,1,2],[0,2,3],[0,2]]",FEASIBLE,FEASIBLE,null,0.022933000,0.022509000,3,3,9,15,False
300121,4,1,"[1,1,1,1]",[1],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.007139000,0.025973000,1,4,7,9,False
300122,6,3,"[1,1,2,1,1,1]","[3,1,2]","[[2],[0],[1,2],[1,2],[0,1,2],[1,2]]",UNSAT,UNSAT,"[0,2,3]",0.062389000,0.043359000,5,7,11,20,False
300123,6,4,"[1,1,1,1,2,3]","[3,1,3,3]","[[2],[0,1,3],[3],[1,2,3],[0,3],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.202853000,0.040464000,9,9,12,24,False
300124,6,3,"[1,1,1,1,2,2]","[3,2,3]","[[1],[1,2],[0],[1,2],[0,1,2],[0,1]]",FEASIBLE,FEASIBLE,null,0.156469000,0.046123000,8,8,11,20,False
300125,1,5,[1],"[2,1,1,3,2]","[[0,1,3,4]]",FEASIBLE,FEASIBLE,null,0.005017000,0.013420000,1,1,8,10,False
300126,5,1,"[1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.008427000,0.028915000,1,5,8,11,False
300127,6,1,"[1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.009375000,0.032218000,1,6,9,13,False
300128,1,6,[1],"[3,3,1,3,3,3]","[[0,1,3,4,5]]",FEASIBLE,FEASIBLE,null,0.005305000,0.091605000,1,1,9,12,False
300129,5,3,"[2,2,1,1,3]","[2,2,3]","[[0,1,2],[0,2],[0,1,2],[0],[0,1,2]]",UNSAT,UNSAT,"[1,3,4]",0.056672000,0.061722000,7,9,10,20,False
300130,3,1,"[1,1,1]",[2],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.010050000,0.023945000,2,3,6,7,False
300131,4,3,"[1,3,1,1]","[3,3,2]","[[0,2],[0,1,2],[0,1,2],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.037721000,0.030459000,6,6,9,18,False
300132,6,1,"[1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.009860000,0.034258000,1,6,9,13,False
300133,3,3,"[1,2,1]","[1,2,3]","[[0,1,2],[0,2],[1,2]]",FEASIBLE,FEASIBLE,null,0.017918000,0.029911000,4,4,8,13,False
300134,6,2,"[2,1,2,1,1,1]","[3,2]","[[0,1],[0],[0,1],[1],[0],[0,1]]",UNSAT,UNSAT,"[0,2,3]",0.045353000,0.042161000,5,8,10,17,False
300135,2,2,"[1,1]","[3,3]","[[1],[0,1]]",FEASIBLE,FEASIBLE,null,0.007123000,0.014376000,2,2,6,7,False
300136,1,5,[1],"[1,2,3,1,2]","[[0,1,3,4]]",FEASIBLE,FEASIBLE,null,0.004854000,0.013203000,1,1,8,10,False
300137,6,6,"[1,2,3,1,1,1]","[3,1,2,2,3,3]","[[1,2,3],[1,3,4],[0,1,3,4],[4],[5],[2,3,5]]",FEASIBLE,FEASIBLE,null,0.275985000,0.041590000,9,9,14,27,False
300138,4,2,"[2,1,1,1]","[1,3]","[[0,1],[0],[1],[0,1]]",UNSAT,UNSAT,"[0,1]",0.012176000,0.047989000,4,5,8,12,False
300139,6,1,"[1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.026762000,0.034919000,2,6,9,13,False
300140,5,6,"[1,2,2,1,1]","[2,2,2,2,1,2]","[[3],[2,3],[0,1,2,3,4],[1],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.132719000,0.035862000,7,7,13,26,False
300141,6,2,"[1,2,2,1,2,1]","[1,3]","[[1],[0,1],[0,1],[0],[0,1],[0,1]]",UNSAT,UNSAT,"[1,2]",0.021007000,0.042771000,4,9,10,18,False
300142,4,4,"[2,1,1,2]","[2,3,3,3]","[[1,3],[1],[0,1],[1,2]]",FEASIBLE,FEASIBLE,null,0.045857000,0.103094000,6,6,10,15,False
300143,6,6,"[1,2,1,1,1,1]","[2,3,1,3,3,3]","[[1],[1,3,4],[1,3,4,5],[0,3],[2,4,5],[1]]",FEASIBLE,FEASIBLE,null,0.278258000,0.046001000,7,7,14,26,False
300144,4,2,"[1,1,1,2]","[1,2]","[[0,1],[0,1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,1,3]",0.022305000,0.034453000,3,5,8,14,False
300145,6,4,"[3,2,1,1,2,1]","[2,1,3,3]","[[0,1,3],[0,2],[3],[3],[0,1],[1,2,3]]",UNSAT,UNSAT,"[0,4]",0.029269000,0.048585000,8,10,12,22,False
300146,1,3,[2],"[1,1,2]","[[0,2]]",FEASIBLE,FEASIBLE,null,0.003855000,0.013546000,2,2,6,6,False
300147,1,5,[2],"[3,2,2,1,1]","[[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.004930000,0.015473000,2,2,8,10,False
300148,3,2,"[2,2,2]","[3,2]","[[0,1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,1,2]",0.013896000,0.031659000,5,6,7,11,False
300149,6,3,"[2,1,1,2,2,1]","[3,1,2]","[[0,2],[0,2],[2],[1,2],[0,1,2],[0,1]]",UNSAT,UNSAT,"[0,2,3]",0.061336000,0.048867000,6,9,11,21,False
300150,2,5,"[2,3]","[1,2,3,3,1]","[[0,1,2,3,4],[1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.012106000,0.025170000,5,5,9,16,False
300151,6,6,"[1,1,1,2,2,1]","[2,2,3,1,3,2]","[[1,2,4],[4],[1,2,5],[4,5],[1,2],[1]]",FEASIBLE,FEASIBLE,null,0.275422000,0.047980000,8,8,14,24,False
300152,3,3,"[2,1,2]","[2,2,2]","[[1,2],[0],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.017861000,0.022951000,5,5,8,12,False
300153,2,6,"[2,2]","[3,1,3,2,1,2]","[[1,5],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.013412000,0.024072000,4,4,10,16,False
300154,6,2,"[1,1,1,2,2,2]","[1,1]","[[0],[0],[0],[0,1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,1]",0.013189000,0.039949000,2,9,10,17,False
300155,3,4,"[2,1,2]","[1,1,3,3]","[[0,1,2,3],[0],[2,3]]",FEASIBLE,FEASIBLE,null,0.021737000,0.032745000,5,5,9,14,False
